#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_010287.1	294001	295521	-	5858786	copB2	CTL0236	YP_001654325.1	506	-	type III secretion system translocator CopB2
chr	NC_010287.1	295549	296145	-	5858084	lcrH	CTL0237	YP_001654326.1	198	-	type III secretion chaperone
chr	NC_010287.1	296067	297515	-	5858707	-	CTL0238	YP_001654327.1	482	-	type III secretion low calcium response chaperone
chr	NC_010287.1	298073	298378	+	16665132	-	CTL0238b	YP_008470960.1	101	-	hypothetical protein CTL0238b
chr	NC_010287.1	298375	299277	-	5858304	xerD	CTL0243	YP_001654328.1	300	-	site-specific tyrosine recombinase XerD
chr	NC_010287.1	299525	300514	+	5858423	-	CTL0244	YP_001654329.1	329	-	hypothetical protein CTL0244
chr	NC_010287.1	300529	302745	+	5858667	glgB	CTL0245	YP_001654330.1	738	-	1,4-alpha-glucan branching protein
chr	NC_010287.1	302756	303775	-	5858618	-	CTL0246	YP_001654331.1	339	-	deubiquitinase
chr	NC_010287.1	303998	305203	-	5858331	-	CTL0247	YP_001654332.1	401	-	deubiquitinase
chr	NC_010287.1	305380	308277	-	5858005	pmpE	CTL0248	YP_001654333.1	965	-	outer membrane protein PmpE
chr	NC_010287.1	308280	311378	-	5858444	pmpF	CTL0249	YP_001654334.1	1032	-	outer membrane protein PmpF
chr	NC_010287.1	311543	314581	+	5858730	pmpG	CTL0250	YP_001654335.1	1012	-	outer membrane protein PmpG
chr	NC_010287.1	314612	317632	+	5857975	pmpH	CTL0251	YP_001654336.1	1006	-	outer membrane protein PmpH
chr	NC_010287.1	318047	318643	+	5858675	-	CTL0252	YP_001654337.1	198	-	hypothetical protein CTL0252
chr	NC_010287.1	318738	321374	-	5858752	pmpI	CTL0254	YP_001654338.1	878	-	outer membrane protein PmpI
chr	NC_010287.1	321649	323421	+	5858006	-	CTL0255	YP_001654339.1	590	-	hypothetical protein CTL0255
chr	NC_010287.1	323566	323838	-	5857946	-	CTL0256	YP_001654340.1	90	-	hypothetical protein CTL0256
chr	NC_010287.1	324039	324341	+	5858620	gatC	CTL0257	YP_001654341.1	100	-	aspartyl/glutamyl-tRNA amidotransferase subunit C
chr	NC_010287.1	324353	325828	+	5858470	gatA	CTL0258	YP_001654342.1	491	-	aspartyl/glutamyl-tRNA amidotransferase subunit A
chr	NC_010287.1	325830	327296	+	5858207	gatB	CTL0259	YP_001654343.1	488	-	aspartyl/glutamyl-tRNA amidotransferase subunit B
chr	NC_010287.1	327395	328486	-	5858200	-	CTL0260	YP_001654344.1	363	-	hypothetical protein CTL0260
chr	NC_010287.1	328614	329183	-	5858154	-	CTL0261	YP_001654345.1	189	-	hypothetical protein CTL0261
chr	NC_010287.1	329497	330447	+	5858743	-	CTL0262	YP_001654346.1	316	-	hypothetical protein CTL0262
chr	NC_010287.1	330463	331365	-	5858307	rnhC	CTL0263	YP_001654347.1	300	-	ribonuclease HIII
chr	NC_010287.1	331621	332052	+	5858713	-	CTL0264	YP_001654348.1	143	-	DNA-binding protein
chr	NC_010287.1	332039	333406	-	5858214	htrB	CTL0265	YP_001654349.1	455	-	lipid A biosynthesis lauroyl acyltransferase
chr	NC_010287.1	333538	334794	-	5858081	-	CTL0266	YP_001654350.1	418	-	hypothetical protein CTL0266
chr	NC_010287.1	334791	335585	-	5858762	-	CTL0267	YP_001654351.1	264	-	integral membrane protein
chr	NC_010287.1	335860	337200	+	5858138	cydA	CTL0268	YP_001654352.1	446	-	cytochrome d ubiquinol oxidase subunit I
chr	NC_010287.1	337212	338273	+	5858683	cydB	CTL0269	YP_001654353.1	353	-	cytochrome d ubiquinol oxidase subunit II
chr	NC_010287.1	338371	339675	-	5858202	-	CTL0270	YP_001654354.1	434	-	ribonuclease
chr	NC_010287.1	339884	340612	+	5858104	-	CTL0271	YP_001654355.1	242	-	hypothetical protein CTL0271
chr	NC_010287.1	340798	342099	+	5858213	-	CTL0272	YP_001654356.1	433	-	hypothetical protein CTL0272
chr	NC_010287.1	342161	342634	-	5858573	-	CTL0273	YP_001654357.1	157	-	hypothetical protein CTL0273
chr	NC_010287.1	343680	346790	+	5858570	ileS	CTL0274	YP_001654358.1	1036	-	isoleucine--tRNA ligase
chr	NC_010287.1	346848	348734	-	5858143	lepB	CTL0275	YP_001654359.1	628	-	signal peptidase I
chr	NC_010287.1	348920	349663	-	5858781	-	CTL0276	YP_001654360.1	247	-	hypothetical protein CTL0276
chr	NC_010287.1	349739	350065	+	5858581	rpmE2	CTL0277	YP_001654361.1	108	-	50S ribosomal protein L31
chr	NC_010287.1	350253	351332	+	5858457	prfA	CTL0278	YP_001654362.1	359	-	peptide chain release factor 1
chr	NC_010287.1	351316	352188	+	5858726	-	CTL0279	YP_001654363.1	290	-	release factor glutamine methyltransferase
chr	NC_010287.1	352185	353531	+	5858426	ffh	CTL0280	YP_001654364.1	448	-	signal recognition particle subunit FFH
chr	NC_010287.1	353522	353872	+	5858789	rpsP	CTL0281	YP_001654365.1	116	-	30S ribosomal protein S16
chr	NC_010287.1	353888	354946	+	5858001	trmD	CTL0282	YP_001654366.1	352	-	fused tRNA (guanine-N(1)-)-methyltransferase/hypothetical protein
chr	NC_010287.1	354972	355337	+	5858420	rplS	CTL0283	YP_001654367.1	121	-	50S ribosomal protein L19
chr	NC_010287.1	355401	356054	+	5858544	rnhB	CTL0284	YP_001654368.1	217	-	ribonuclease HII
chr	NC_010287.1	356045	356662	+	5858565	gmk	CTL0285	YP_001654369.1	205	-	guanylate kinase
chr	NC_010287.1	356655	356957	+	5858755	-	CTL0286	YP_001654370.1	100	-	hypothetical protein CTL0286
chr	NC_010287.1	356957	358609	+	5857972	metG	CTL0287	YP_001654371.1	550	-	methionine--tRNA ligase
chr	NC_010287.1	358748	360988	-	5858314	recD	CTL0288	YP_001654372.1	746	-	exodeoxyribonuclease V subunit alpha
chr	NC_010287.1	361236	362216	-	5858003	-	CTL0289	YP_001654373.1	326	-	membrane transport/efflux protein
chr	NC_010287.1	362599	363372	+	5858066	-	CTL0290	YP_001654374.1	257	-	hypothetical protein CTL0290
chr	NC_010287.1	363337	364494	-	5857974	-	CTL0291	YP_001654375.1	385	-	hypothetical protein CTL0291
chr	NC_010287.1	365040	365384	-	5858345	-	CTL0293	YP_001654376.1	114	-	hypothetical protein CTL0293
chr	NC_010287.1	365406	365978	-	5858212	dcd	CTL0294	YP_001654377.1	190	-	deoxycytidine triphosphate deaminase
chr	NC_010287.1	366065	366217	+	5858206	-	CTL0295	YP_001654378.1	50	-	hypothetical protein CTL0295
chr	NC_010287.1	366259	367263	+	5858509	ruvB	CTL0296	YP_001654379.1	334	-	Holliday junction DNA helicase RuvB
chr	NC_010287.1	367265	368077	+	5858061	-	CTL0297	YP_001654380.1	270	-	hypothetical protein CTL0297
chr	NC_010287.1	368138	370138	-	5858637	-	CTL0298	YP_001654381.1	666	-	glycosyl hydrolase
chr	NC_010287.1	370259	370762	-	5858729	-	CTL0299	YP_001654382.1	167	-	type III secretion system chaperone
chr	NC_010287.1	371228	371701	+	5858567	ssb	CTL0300	YP_001654383.1	157	-	single-stranded DNA-binding protein
chr	NC_010287.1	372044	373543	+	5858119	-	CTL0301	YP_001654384.1	499	-	cytosol aminopeptidase
chr	NC_010287.1	373681	374352	+	5858142	hct2	CTL0302	YP_001654385.1	223	-	histone-like protein 2
chr	NC_010287.1	374507	375451	+	5858004	-	CTL0303	YP_001654386.1	314	-	hypothetical protein CTL0303
chr	NC_010287.1	375546	376259	+	5857980	-	CTL0304	YP_001654387.1	237	-	SAM-dependent methyltransferase
chr	NC_010287.1	376350	377822	+	5858116	-	CTL0305	YP_001654388.1	490	-	hypothetical protein CTL0305
chr	NC_010287.1	377881	379548	-	5858115	-	CTL0306	YP_001654389.1	555	-	hypothetical protein CTL0306
chr	NC_010287.1	379584	381275	-	5857941	-	CTL0307	YP_001654390.1	563	-	hypothetical protein CTL0307
chr	NC_010287.1	381336	382466	-	5857937	hemN	CTL0308	YP_001654391.1	376	-	coproporphyrinogen-III oxidase
chr	NC_010287.1	382456	382902	-	5858057	-	CTL0309	YP_001654392.1	148	-	hypothetical protein CTL0309
chr	NC_010287.1	383234	385945	+	5857947	sucA	CTL0310	YP_001654393.1	903	-	2-oxoglutarate dehydrogenase E1 component
chr	NC_010287.1	385949	387046	+	5858187	sucB	CTL0311	YP_001654394.1	365	-	2-oxoglutarate dehydrogenase complex subunit dihydrolipoyllysine-residue succinyltransferase
chr	NC_010287.1	387075	387806	-	5858186	-	CTL0312	YP_001654395.1	243	-	hypothetical protein CTL0312
chr	NC_010287.1	387815	389623	-	5858498	gcpE	CTL0313	YP_001654396.1	602	-	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
chr	NC_010287.1	389775	390866	-	5858211	-	CTL0314	YP_001654397.1	363	-	hypothetical protein CTL0314
chr	NC_010287.1	390946	391221	-	5858022	fer	CTL0315	YP_001654398.1	91	-	ferredoxin
chr	NC_010287.1	391403	393220	+	5858276	flhA	CTL0316	YP_001654399.1	605	-	type III secretion system protein
chr	NC_010287.1	393328	394089	+	5858702	fliA	CTL0317	YP_001654400.1	253	-	RNA polymerase sigma factor sigma-28
chr	NC_010287.1	394248	395486	+	5857979	tyrS	CTL0318	YP_001654401.1	412	-	tyrosine--tRNA ligase
chr	NC_010287.1	395496	396938	+	5858811	gnd	CTL0319	YP_001654402.1	480	-	6-phosphogluconate dehydrogenase
chr	NC_010287.1	396999	398807	-	5858447	lepA	CTL0320	YP_001654403.1	602	-	elongation factor 4
chr	NC_010287.1	398993	400579	-	5857987	-	CTL0321	YP_001654404.1	528	-	ADP, ATP carrier protein
chr	NC_010287.1	400930	401406	-	5858511	-	CTL0322	YP_001654405.1	158	-	hypothetical protein CTL0322
chr	NC_010287.1	402067	403047	+	5858524	-	CTL0323	YP_001654406.1	326	-	ABC transporter substrate-binding protein
chr	NC_010287.1	403040	403819	+	5858528	-	CTL0324	YP_001654407.1	259	-	ABC transporter ATP-binding protein
chr	NC_010287.1	403820	405175	+	5858526	-	CTL0325	YP_001654408.1	451	-	ABC transporter permease
chr	NC_010287.1	405165	406121	+	5858525	-	CTL0326	YP_001654409.1	318	-	ABC transporter permease
chr	NC_010287.1	406148	407287	+	5858512	dxr	CTL0327	YP_001654410.1	379	-	1-deoxy-D-xylulose 5-phosphate reductoisomerase
chr	NC_010287.1	407483	409342	+	5858619	-	CTL0328	YP_001654411.1	619	-	protease
chr	NC_010287.1	409289	410266	-	5858557	-	CTL0329	YP_001654412.1	325	-	hypothetical protein CTL0329
chr	NC_010287.1	410424	411521	-	5858158	recF	CTL0330	YP_001654413.1	365	-	recombination protein F
chr	NC_010287.1	411521	412771	-	5858548	dnaN	CTL0331	YP_001654414.1	416	-	DNA polymerase III subunit beta
chr	NC_010287.1	412901	413356	+	5858205	smpB	CTL0332	YP_001654415.1	151	-	SsrA-binding protein
chr	NC_010287.1	413334	414284	-	5858601	apbE	CTL0333	YP_001654416.1	316	-	thiamine biosynthesis lipoprotein
chr	NC_010287.1	414254	415117	-	5858626	folD	CTL0334	YP_001654417.1	287	-	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase
chr	NC_010287.1	415235	415630	-	5858585	-	CTL0335	YP_001654418.1	131	-	integral membrane protein
chr	NC_010287.1	415955	416248	+	5858108	ltuB	CTL0336	YP_001654419.1	97	-	late transcription unit B protein
chr	NC_010287.1	416611	418293	+	5858549	-	CTL0338	YP_001654421.1	560	-	hypothetical protein CTL0338
chr	NC_010287.1	418290	418772	+	5858790	-	CTL0338A	YP_001654422.1	160	-	hypothetical protein CTL0338A
chr	NC_010287.1	418786	419871	-	5858797	-	CTL0339	YP_001654423.1	361	-	phospholipase
chr	NC_010287.1	420042	421781	-	5858556	-	CTL0340	YP_001654424.1	579	-	decarboxylase
chr	NC_010287.1	421901	422170	-	5858052	rpmB	CTL0341	YP_001654425.1	89	-	50S ribosomal protein L28
chr	NC_010287.1	422319	423902	-	5858076	malQ	CTL0342	YP_001654426.1	527	-	4-alpha-glucanotransferase
chr	NC_010287.1	423906	424346	-	5858067	scc1	CTL0343	YP_001654427.1	146	-	type III secretion chaperone
chr	NC_010287.1	424384	425649	-	5858087	copN	CTL0344	YP_001654428.1	421	-	low calcium response protein E
chr	NC_010287.1	425667	427793	-	5858608	lcrD	CTL0345	YP_001654429.1	708	-	low calcium response protein D
chr	NC_010287.1	427793	428875	-	5858605	sctU	CTL0346	YP_001654430.1	360	-	type III secretion system protein
chr	NC_010287.1	429132	430232	+	5858027	-	CTL0347	YP_001654431.1	366	-	ribosome-binding ATPase
chr	NC_010287.1	430241	431146	-	5858058	ribF	CTL0348	YP_001654432.1	301	-	bifunctional riboflavin kinase/FMN adenylyltransferase
chr	NC_010287.1	431103	431828	-	5858161	truB	CTL0349	YP_001654433.1	241	-	tRNA pseudouridine synthase B
chr	NC_010287.1	431866	432237	-	5858822	rbfA	CTL0350	YP_001654434.1	123	-	ribosome-binding factor A
chr	NC_010287.1	432244	434934	-	5858152	infB	CTL0351	YP_001654435.1	896	-	translation initiation factor IF-2
chr	NC_010287.1	434891	436195	-	5857991	nusA	CTL0352	YP_001654436.1	434	-	transcription termination/antitermination protein NusA
chr	NC_010287.1	436313	438022	-	5858770	rpsA	CTL0353	YP_001654437.1	569	-	30S ribosomal protein S1
chr	NC_010287.1	438267	439322	+	5857977	trxB	CTL0354	YP_001654438.1	351	-	thioredoxin reductase
chr	NC_010287.1	439328	439687	+	5858816	acpS	CTL0355	YP_001654439.1	119	-	holo
chr	NC_010287.1	439688	440149	-	5858616	-	CTL0356	YP_001654440.1	153	-	hypothetical protein CTL0356
chr	NC_010287.1	440285	440746	+	5858538	-	CTL0357	YP_001654441.1	153	-	hypothetical protein CTL0357
chr	NC_010287.1	440781	441677	+	5858587	-	CTL0358	YP_001654442.1	298	-	hypothetical protein CTL0358
chr	NC_010287.1	441667	442563	-	5858016	fabI	CTL0359	YP_001654443.1	298	-	enoyl-(acyl carrier protein) reductase
chr	NC_010287.1	442875	444845	+	5858716	-	CTL0360	YP_001654444.1	656	-	hypothetical protein CTL0360
chr	NC_010287.1	445045	445869	-	5857948	-	CTL0361	YP_001654445.1	274	-	tRNA pseudouridine synthase A
chr	NC_010287.1	445916	447022	+	5858135	-	CTL0362	YP_001654446.1	368	-	DNA glycosylase
chr	NC_010287.1	447076	447831	+	5858014	-	CTL0363	YP_001654447.1	251	-	hypothetical protein CTL0363
chr	NC_010287.1	447844	448632	-	5858527	-	CTL0364	YP_001654448.1	262	-	hypothetical protein CTL0364
chr	NC_010287.1	448761	450395	-	5858059	groEL	CTL0365	YP_001654449.1	544	-	chaperonin GroEL
chr	NC_010287.1	450434	450742	-	5858801	groES	CTL0366	YP_001654450.1	102	-	co-chaperonin GroES
chr	NC_010287.1	450914	452740	-	5858746	pepF	CTL0367	YP_001654451.1	608	-	oligoendopeptidase F
chr	NC_010287.1	453042	455645	+	5858318	clpB	CTL0368	YP_001654452.1	867	-	chaperone protein ClpB
chr	NC_010287.1	455671	457131	+	5858663	-	CTL0369	YP_001654453.1	486	-	hypothetical protein CTL0369
chr	NC_010287.1	457317	457799	+	5858590	incD	CTL0370	YP_001654454.1	160	-	inclusion membrane protein D
chr	NC_010287.1	457866	458264	+	5858183	incE	CTL0371	YP_001654455.1	132	-	inclusion membrane protein E
chr	NC_010287.1	458269	458583	+	5858025	incF	CTL0372	YP_001654456.1	104	-	inclusion membrane protein F
chr	NC_010287.1	458670	459173	+	5857996	incG	CTL0373	YP_001654457.1	167	-	inclusion membrane protein G
chr	NC_010287.1	459340	460080	-	5858137	incA	CTL0374	YP_001654458.1	246	-	inclusion membrane protein A
chr	NC_010287.1	460207	460482	-	5858165	-	CTL0375	YP_001654459.1	91	-	hypothetical protein CTL0375
chr	NC_010287.1	460581	461267	+	5858515	araD	CTL0376	YP_001654460.1	228	-	ribulose-phosphate 3-epimerase
chr	NC_010287.1	461254	461811	+	5858476	efp	CTL0377	YP_001654461.1	185	-	elongation factor P
chr	NC_010287.1	461824	462318	+	5858669	accB	CTL0378	YP_001654462.1	164	-	acetyl-CoA carboxylase biotin carboxyl carrier protein
chr	NC_010287.1	462322	463695	+	5858489	accC	CTL0379	YP_001654463.1	457	-	acetyl-CoA carboxylase biotin carboxylase subunit
chr	NC_010287.1	463918	464370	+	5858611	rplM	CTL0380	YP_001654464.1	150	-	50S ribosomal protein L13
chr	NC_010287.1	464396	464785	+	5858125	rpsI	CTL0381	YP_001654465.1	129	-	30S ribosomal protein S9
chr	NC_010287.1	464833	465684	-	5858011	-	CTL0382	YP_001654466.1	283	-	hypothetical protein CTL0382
chr	NC_010287.1	465780	466517	-	5858151	adk	CTL0383	YP_001654467.1	245	-	adenylate kinase
chr	NC_010287.1	466724	467368	+	5858477	-	CTL0384	YP_001654468.1	214	-	ABC transporter permease
chr	NC_010287.1	467365	468066	+	5858184	-	CTL0385	YP_001654469.1	233	-	ABC transporter ATP-binding protein
chr	NC_010287.1	468069	471485	-	5858539	-	CTL0386	YP_001654470.1	1138	-	hypothetical protein CTL0386
chr	NC_010287.1	471482	472759	-	5858506	-	CTL0387	YP_001654471.1	425	-	hypothetical protein CTL0387
chr	NC_010287.1	472838	473641	-	5858559	-	CTL0388	YP_001654472.1	267	-	methyltransferase
chr	NC_010287.1	474097	474510	+	5858533	-	CTL0389	YP_001654473.1	137	-	hypothetical protein CTL0389
chr	NC_010287.1	474568	475650	+	5858497	-	CTL0390	YP_001654474.1	360	-	hypothetical protein CTL0390
chr	NC_010287.1	475740	476459	+	5858150	-	CTL0391	YP_001654475.1	239	-	phospholipase-carboxylesterase family protein
chr	NC_010287.1	476478	477323	+	5858536	-	CTL0392	YP_001654476.1	281	-	threonylcarbamoyl-AMP synthase
chr	NC_010287.1	477301	478248	+	5858129	-	CTL0393	YP_001654477.1	315	-	microsomal dipeptidase
chr	NC_010287.1	478245	479525	-	5858522	oppA	CTL0394	YP_001654478.1	426	-	oligopeptide ABC transporter substrate-binding protein
chr	NC_010287.1	479701	480387	+	5858553	-	CTL0395	YP_001654479.1	228	-	hypothetical protein CTL0395
chr	NC_010287.1	480571	481017	+	5858435	-	CTL0396	YP_001654480.1	148	-	hypothetical protein CTL0396
chr	NC_010287.1	481417	482274	+	5858260	-	CTL0397	YP_001654481.1	285	-	hypothetical protein CTL0397
chr	NC_010287.1	482276	483118	+	5858718	-	CTL0398	YP_001654482.1	280	-	hypothetical protein CTL0398
chr	NC_010287.1	483118	483984	+	5858109	-	CTL0399	YP_001654483.1	288	-	hypothetical protein CTL0399
chr	NC_010287.1	484170	486014	+	5858117	pkn1	CTL0400	YP_001654484.1	614	-	serine/threonine-protein kinase
chr	NC_010287.1	486025	488016	+	5857985	ligA	CTL0401	YP_001654485.1	663	-	NAD-dependent DNA ligase LigA
chr	NC_010287.1	488114	492463	+	5858451	-	CTL0402	YP_001654486.1	1449	-	hypothetical protein CTL0402
chr	NC_010287.1	492526	494049	-	5858785	mhpA	CTL0403	YP_001654487.1	507	-	FAD-dependent monooxygenase
chr	NC_010287.1	494249	495196	-	5858574	-	CTL0404	YP_001654488.1	315	-	hypothetical protein CTL0404
chr	NC_010287.1	495595	495753	+	5858561	rpmG	CTL0405	YP_001654489.1	52	-	50S ribosomal protein L33
chr	NC_010287.1	495789	497300	+	5858540	-	CTL0406	YP_001654490.1	503	-	lipoprotein releasing system ABC transporter permease
chr	NC_010287.1	497305	497982	+	5858537	-	CTL0407	YP_001654491.1	225	-	lipoprotein releasing system ABC transporter ATP-binding protein
chr	NC_010287.1	498133	500565	-	5857993	-	CTL0408	YP_001654492.1	810	-	MAC/perforin family protein
chr	NC_010287.1	502302	503240	-	5858073	-	CTL0411	YP_001654493.1	312	-	phosphatidylcholine-hydrolyzing phospholipase D
chr	NC_010287.1	503754	504959	-	5858175	-	CTL0413	YP_001654494.1	401	-	phosphatidylcholine-hydrolyzing phospholipase D
chr	NC_010287.1	505082	505723	-	16665134	-	CTL0414a	YP_008470962.1	213	-	phospholipase
chr	NC_010287.1	506303	506584	-	16665135	-	CTL0417a	YP_008470963.1	93	-	hypothetical protein CTL0417a
chr	NC_010287.1	506843	507313	-	5858414	-	CTL0417b	YP_008470964.1	156	-	hypothetical protein CTL0417b
chr	NC_010287.1	507306	508052	-	5858771	-	CTL0417	YP_001654495.1	248	-	hypothetical protein CTL0417
chr	NC_010287.1	508185	508433	-	5858455	-	CTL0418	YP_009143298.1	82	-	hypothetical protein CTL0418
chr	NC_010287.1	508663	510192	+	5858182	-	CTL0419	YP_001654496.1	509	-	hypothetical protein CTL0419
chr	NC_010287.1	511407	511691	+	5858190	trpR	CTL0422	YP_001654498.1	94	-	Trp operon repressor
chr	NC_010287.1	511732	511911	+	16665136	-	CTL0422a	YP_008470965.1	59	-	hypothetical protein CTL0422a
chr	NC_010287.1	512040	513218	+	5858806	trpB	CTL0423	YP_001654499.1	392	-	tryptophan synthase subunit beta
chr	NC_010287.1	513211	513972	+	5858808	trpA	CTL0424	YP_001654500.1	253	-	tryptophan synthase subunit alpha
chr	NC_010287.1	514761	515006	-	5858700	-	CTL0426	YP_001654502.2	81	-	hypothetical protein CTL0426
chr	NC_010287.1	515293	516882	+	5858503	oppA2	CTL0427	YP_001654503.1	529	-	oligopeptide ABC transporter substrate-binding protein
chr	NC_010287.1	516909	517316	-	5858535	dsbB	CTL0428	YP_001654504.1	135	-	disulfide oxidoreductase
chr	NC_010287.1	517313	518029	-	5858475	dsbG	CTL0429	YP_001654505.1	238	-	hypothetical protein CTL0429
chr	NC_010287.1	518175	519389	+	5858655	-	CTL0430	YP_001654506.1	404	-	hypothetical protein CTL0430
chr	NC_010287.1	519391	520050	-	5858456	-	CTL0431	YP_001654507.2	219	-	hypothetical protein CTL0431
chr	NC_010287.1	520047	520739	-	5858552	-	CTL0432	YP_001654508.1	230	-	ABC transporter ATP-binding protein
chr	NC_010287.1	521047	521757	-	5857927	-	CTL0433	YP_001654509.1	236	-	hypothetical protein CTL0433
chr	NC_010287.1	522125	522889	+	5858046	kdsB	CTL0434	YP_001654510.1	254	-	3-deoxy-manno-octulosonate cytidylyltransferase
chr	NC_010287.1	522865	524484	+	5858425	pyrG	CTL0435	YP_001654511.1	539	-	CTP synthetase
chr	NC_010287.1	524471	524917	+	5858009	-	CTL0436	YP_001654512.1	148	-	Holliday junction resolvase
chr	NC_010287.1	525034	526557	+	5858195	zwf	CTL0437	YP_001654513.1	507	-	glucose-6-phosphate 1-dehydrogenase
chr	NC_010287.1	526582	527352	+	5857940	devB	CTL0438	YP_001654514.1	256	-	6-phosphogluconolactonase
chr	NC_010287.1	527349	528221	-	5858210	dnaX	CTL0439	YP_001654515.1	290	-	DNA polymerase III subunit delta\'
chr	NC_010287.1	528235	528846	-	5858199	tmk	CTL0440	YP_001654516.1	203	-	thymidylate kinase
chr	NC_010287.1	528848	531358	-	5858742	gyrA	CTL0441	YP_001654517.1	836	-	DNA gyrase subunit A
chr	NC_010287.1	531373	533787	-	5858149	gyrB	CTL0442	YP_001654518.1	804	-	DNA gyrase subunit B
chr	NC_010287.1	533790	534140	-	5858172	-	CTL0443	YP_001654519.1	116	-	hypothetical protein CTL0443
chr	NC_010287.1	534287	534982	-	5858508	-	CTL0444	YP_001654520.1	231	-	inclusion membrane protein
chr	NC_010287.1	535086	536204	-	5858126	tgt	CTL0445	YP_001654521.1	372	-	queuine tRNA-ribosyltransferase
chr	NC_010287.1	536331	537743	-	5858404	mgtE	CTL0446	YP_001654522.1	470	-	magnesium transport protein
chr	NC_010287.1	538183	539274	-	5858198	-	CTL0447	YP_001654523.1	363	-	hypothetical protein CTL0447
chr	NC_010287.1	539500	539820	+	5858114	-	CTL0448	YP_001654524.1	106	-	inclusion membrane protein
chr	NC_010287.1	539896	540912	+	5858728	gcp	CTL0449	YP_001654525.1	338	-	tRNA N6-adenosine threonylcarbamoyltransferase
chr	NC_010287.1	540876	542432	+	5858204	oppA3	CTL0450	YP_001654526.1	518	-	oligopeptide ABC transporter substrate-binding protein
chr	NC_010287.1	542591	543532	+	5858443	oppB	CTL0451	YP_001654527.1	313	-	oligopeptide ABC transporter permease
chr	NC_010287.1	543564	544409	+	5858551	oppC	CTL0452	YP_001654528.1	281	-	oligopeptide ABC transporter permease
chr	NC_010287.1	544402	545235	+	5858428	oppD	CTL0453	YP_001654529.1	277	-	oligopeptide ABC transporter ATP-binding protein
chr	NC_010287.1	545250	545993	+	5858429	oppF	CTL0454	YP_001654530.1	247	-	oligopeptide ABC transporter ATP-binding protein
chr	NC_010287.1	546305	547054	+	5858072	-	CTL0455	YP_001654531.1	249	-	hypothetical protein CTL0455
chr	NC_010287.1	547084	548499	+	5858127	-	CTL0456	YP_001654532.1	471	-	sodium:sulfate symporter
chr	NC_010287.1	548519	550180	+	5858523	pfkA	CTL0457	YP_001654533.1	553	-	pyrophosphate--fructose 6-phosphate 1-phosphotransferase
chr	NC_010287.1	550189	551037	+	5858657	-	CTL0458	YP_001654534.1	282	-	hypothetical protein CTL0458
chr	NC_010287.1	551019	552665	+	5858705	pfkA_2	CTL0459	YP_001654535.1	548	-	pyrophosphate--fructose 6-phosphate 1-phosphotransferase
chr	NC_010287.1	552911	554206	-	5858288	gseA	CTL0460	YP_001654536.1	431	-	3-deoxy-D-manno-octulosonic acid transferase
chr	NC_010287.1	554203	556662	-	5858499	leuS	CTL0461	YP_001654537.1	819	-	leucine--tRNA ligase
chr	NC_010287.1	556859	558127	+	5858804	hemL	CTL0462	YP_001654538.1	422	-	glutamate-1-semialdehyde-2,1-aminomutase
chr	NC_010287.1	558119	558688	-	5858810	-	CTL0463	YP_001654539.1	189	-	hypothetical protein CTL0463
chr	NC_010287.1	558708	559154	-	5858168	-	CTL0464	YP_001654540.1	148	-	hypothetical protein CTL0464
chr	NC_010287.1	559144	559872	-	5858696	rpiA	CTL0465	YP_001654541.1	242	-	ribose-5-phosphate isomerase A
chr	NC_010287.1	559967	561610	-	5858153	-	CTL0466	YP_001654542.1	547	-	inclusion membrane protein
chr	NC_010287.1	561914	562960	+	5858146	dhnA	CTL0467	YP_001654543.1	348	-	1,6-fructose bisphosphate aldolase
chr	NC_010287.1	562974	564374	+	5858680	xasA	CTL0468	YP_001654544.1	466	-	glutamate/gamma-aminobutyrate antiporter
chr	NC_010287.1	564468	565232	+	5858815	-	CTL0469	YP_001654545.1	254	-	hypothetical protein CTL0469
chr	NC_010287.1	565363	566214	+	5858766	surE	CTL0470	YP_001654546.1	283	-	5\'-nucleotidase SurE
chr	NC_010287.1	566326	567234	+	5858327	ubiA	CTL0471	YP_001654547.1	302	-	prenyltransferase
chr	NC_010287.1	567231	567809	+	5858821	-	CTL0472	YP_001654548.1	192	-	aromatic acid decarboxylase
chr	NC_010287.1	567806	568702	-	5858144	-	CTL0473	YP_001654549.1	298	-	hypothetical protein CTL0473
chr	NC_010287.1	568992	569132	-	5858820	-	CTL0474	YP_001654550.1	46	-	hypothetical protein CTL0474
chr	NC_010287.1	569159	569545	-	5858542	-	CTL0475	YP_001654551.1	128	-	hypothetical protein CTL0475
chr	NC_010287.1	569687	570493	-	5858723	-	CTL0476	YP_001654552.1	268	-	inclusion membrane protein
chr	NC_010287.1	570885	571328	-	5858164	-	CTL0477	YP_001654553.1	147	-	inclusion membrane protein
chr	NC_010287.1	571436	571804	-	5857945	-	CTL0477A	YP_001654554.1	122	-	inclusion membrane protein
chr	NC_010287.1	571903	572418	-	5858000	-	CTL0478	YP_001654555.1	171	-	inclusion membrane protein
chr	NC_010287.1	572547	572948	-	5858589	-	CTL0479	YP_001654556.1	133	-	inclusion membrane protein
