Name,wildtype-rep1,wildtype-rep2,revR-rep1,revR-rep2,virR-rep1,virR-rep2,Length,Gene,Product,On same fragment,Ambiguous alignment
CPE0586,90,159,35,331,75,238,747,fruR,transcriptional regulator,49xCPE0585,
CPE0587,1,2,0,0,24,18,324,,hypothetical protein,,
CPE0588,73,337,110,168,118,191,1101,,permease,,
CPE0589,180,404,401,400,226,448,660,,isochorismatase,,
CPE0590,3,22,15,25,9,23,1314,,putative voltage-gated ClC-type chloride channel Cl,,
CPE0591,16,182,212,1899,29,77,924,,glutaminase,,
CPE0592,18,22,7,33,52,34,726,,Mg2+ transporter,,
CPE0593,32,102,28,79,28,57,693,sfsA,sugar fermentation stimulation protein A,,
CPE0594,41,113,66,57,56,116,474,,"hydrolase, NUDIX family",,
CPE0595,51,148,51,103,100,182,1401,lysA,diaminopimelate decarboxylase,,
CPE0596,105,161,72,228,146,141,267,,hypothetical protein,114xCPE0597,1xCPE2162 1xCPE2165 1xCPE0767 1xCPE1410 1xCPE0117 1xCPE0536
CPE0597,53,112,49,186,92,97,531,sipS,signal peptidase type I,114xCPE0596 85xCPE0598,
CPE0598,166,355,320,889,262,504,2154,ftsH,ATP-dependent metalloprotease FtsH,85xCPE0597,
CPE0599,46,103,85,135,76,120,2121,,DNA-dependent helicase II,,
CPE0600,1,0,1,0,6,2,837,,amino acid ABC transporter,1xCPE0601,
CPE0601,1,4,2,1,1,6,672,,amino acid ABC transporter,3xCPE0602 1xCPE0600,
CPE0602,2,6,0,2,3,3,723,,amino acid ABC transporter,3xCPE0601,
CPE0603,90,172,121,232,151,298,1809,,arylsulfatase,1xCPE0604,
CPE0604,97,164,216,259,136,205,1845,,arylsulfatase,1xCPE0603,
CPE0605,205,237,150,162,286,281,1182,,cation efflux family protein,,
CPE0606,88,113,75,66,64,100,1908,entD,enterotoxin,2xCPE0607,
CPE0607,258,578,452,991,290,642,1296,,aminopeptidase 2,2xCPE0606,
CPE0608,0,0,0,1,0,8,195,,hypothetical protein,,
CPE0609,39,88,64,104,47,85,840,,"HAD hydrolase, IIB family",,
CPE0610,17,41,39,152,17,41,3330,,chromosome segregation protein,,
CPE0611,72,118,93,85,62,103,1596,,peptide chain release factor 3,,
CPE0612,40,47,36,15,50,55,606,,bifunctional DNA-binding transcriptional repressor/,,
CPE0613,45,74,54,57,47,78,801,,sugar phosphate phosphatase,10xCPE0614,
CPE0614,19,43,27,42,29,52,663,rfbP,undecaprenyl phosphate galactosephosphotransferase,33xCPE0615 10xCPE0613,
CPE0615,13,30,18,34,15,29,915,rfbN,rhamnosyl transferase,33xCPE0614 27xCPE0616,
CPE0616,31,45,42,41,42,66,882,rfbA,glucose-1-phosphate thymidylyltransferase,27xCPE0615,
CPE0617,3,15,12,12,5,30,483,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",18xCPE0618,
CPE0618,9,26,19,19,9,36,885,rfbD,dTDP-4-dehydrorhamnose reductase,28xCPE0619 18xCPE0617,
CPE0619,10,29,38,28,3,46,1050,rfbB,"dTDP-glucose 4,6-dehydratase",28xCPE0618 5xCPE0620,
CPE0620,16,35,19,18,20,40,1215,,hypothetical protein,30xCPE0621 5xCPE0619,
CPE0621,20,37,30,16,28,42,849,,glycosyltransferase,30xCPE0620,
CPE0622,18,20,32,9,19,34,741,,hypothetical protein,17xCPE0623,
CPE0623,26,40,43,21,23,47,1452,,capsular polysaccharide synthesis protein,17xCPE0622 9xCPE0624,2xPCP34 1xCPE1702 1xCPE1333 1xCPE1864 1xCPE1481
CPE0624,64,116,78,63,77,147,2424,,hypothetical protein,9xCPE0623 1xCPE0625,
CPE0625,597,663,363,1345,627,1225,1653,,hypothetical protein,1xCPE0624,
CPE0626,147,203,116,227,126,168,1365,,hypothetical protein,,1xCPE1837 1xCPE0499
CPE0627,643,1034,999,1427,656,824,1869,licA,choline kinase,494xCPE0628,
CPE0628,377,681,452,687,395,635,969,licB,lic-1 operon protein,494xCPE0627 87xCPE0629,
CPE0629,446,762,549,575,569,831,684,licC,lic-1 operon protein,87xCPE0628,
CPE0630,40,87,60,49,79,148,1293,,hypothetical protein,1xCPE0631,
CPE0631,78,194,109,109,112,295,1020,,PBP5 synthesis regulator protein,1xCPE0630,
CPE0632,124,156,38,54,112,182,1275,brnQ,branched chain amino acid ABC transporter carrier protein,,
CPE0633,32,45,27,29,32,58,999,trpS,tryptophanyl-tRNA synthetase,,
CPE0634,17,24,32,59,16,12,540,,hypothetical protein,4xCPE0635,
CPE0635,36,68,35,62,39,54,1113,,anaerobic sulfatase-maturase,4xCPE0634,
CPE0636,67,210,10,11,81,125,831,,phosphate ABC transporter phosphate-binding protein,,
CPE0637,28,107,0,0,16,29,819,,phosphate ABC transporter phosphate-binding protein,19xCPE0638,
CPE0638,37,128,0,0,23,32,888,,phosphate ABC transporter permease,19xCPE0637 18xCPE0639,
CPE0639,21,133,2,3,17,41,825,,phosphate ABC transporter permease,18xCPE0638 13xCPE0640,
CPE0640,48,175,1,4,57,71,762,,phosphate transporter ATP-binding protein,86xCPE0641 13xCPE0639,
CPE0641,108,324,2,4,82,125,654,phoU,phosphate transporter PhoU,86xCPE0640,
CPE0642,40,60,1,7,62,84,696,,DNA-binding response regulator,,
CPE0643,371,309,324,2493,328,557,624,,hypothetical protein,1102xCPE0644,
CPE0644,527,640,346,3350,391,1044,417,flaV,flavodoxin,1102xCPE0643,
CPE0645,201,559,343,1009,331,587,1659,gltX,glutaminyl-tRNA synthetase,,
CPE0646,7361,18227,3540,10979,13293,30365,156,,hypothetical protein,7xCPE0647,
CPE0647,0,5,5,7,29,24,1089,,hypothetical protein,7xCPE0646,
CPE0648,2,4,0,1,6,15,1422,gerKA,spore germination protein KA,2xCPE0649,
CPE0649,2,4,5,7,11,17,1125,gerBC,spore germination protein B3,2xCPE0648,
CPE0650,18,25,32,58,20,41,1134,,ATPase AAA,14xCPE0651,
CPE0651,10,14,11,44,250,236,414,,hypothetical protein,14xCPE0650,
CPE0652,86,246,147,338,162,332,1221,tyrS,tyrosyl-tRNA synthetase,,
CPE0653,21,62,39,148,37,84,693,,Ser/Thr protein phosphatase,8xCPE0654,
CPE0654,69,172,179,453,108,251,792,relA,relA/spoT family protein,8xCPE0653,
CPE0655,81,177,86,482,62,323,786,,hypothetical protein,38xCPE0656,
CPE0656,72,143,123,363,48,229,1116,,hypothetical protein,121xCPE0657 38xCPE0655,
CPE0657,132,283,245,585,99,392,1338,,hypothetical protein,121xCPE0656,
CPE0658,14,49,19,28,15,19,1392,,hypothetical protein,,
CPE0659,88,44,64,84,92,108,1494,,anaerobic ribonucleoside triphosphate reductase,34xCPE0660,
CPE0660,36,36,19,44,42,48,765,,(4Fe-4S)-binding protein,34xCPE0659,
CPE0661,11,8,7,10,16,10,516,,hypothetical protein,,
CPE0662,246,335,208,386,337,277,804,,photosystem I assembly protein Ycf3,,
CPE0663,523,390,263,282,1466,1163,1311,,F5/8 type C domain protein,,
CPE0664,241,613,582,1050,198,574,345,,hypothetical protein,,
CPE0665,10,57,30,74,31,52,732,,hypothetical protein,24xCPE0666,44xCPE0489 16xCPE1864 12xCPE0021 9xCPE2087 8xCPE1858 5xCPE2162 4xCPE0117 3xCPE1901 2xCPE0395 2xCPE1238 2xCPE2284 2xCPE2172 2xCPE1470 2xCPE1880 1xCPE0481 1xCPE1564 1xCPE1340 1xCPE1802 1xCPE2523 1xCPE1609 1xCPE0267 1xCPE0476 1xCPE0204 1xCPE0544 1xCPE1649
CPE0666,18,15,25,49,43,61,273,,transposase,130xCPE0667 24xCPE0665 3xCPE0668,99xCPE1888 54xCPE1887
CPE0667,16,30,23,86,49,54,354,,transposase,130xCPE0666 103xCPE0668,71xCPE1887 54xCPE1888
CPE0668,11,37,27,70,51,50,861,,transposase,103xCPE0667 3xCPE0666,83xCPE1887
CPE0669,1059,461,325,94,1636,1354,1008,,hypothetical protein,,
CPE0670,31,69,45,77,65,148,2451,leuS,leucyl-tRNA synthetase,,
CPE0671,31,104,33,96,36,69,561,,hypothetical protein,,
CPE0672,268,681,532,1374,196,542,363,,hypothetical protein,,
CPE0673,11,22,17,20,14,10,987,birA,bifunctional biotin operon repressor/biotin--[acetyl-CoA-carboxylase] synthetase,,
CPE0674,35,39,59,104,28,52,1086,,HRDC domain protein,22xCPE0675,1xCPE1715
CPE0675,1,5,5,12,3,5,168,,hypothetical protein,22xCPE0674 3xCPE0676,
CPE0676,22,55,40,85,29,58,735,,hypothetical protein,3xCPE0675,
CPE0677,56,117,78,183,38,110,306,,hypothetical protein,,
CPE0678,8,69,22,267,11,23,651,dut,deoxyuridine 5`-triphosphate nucleotidohydrolase,,
CPE0679,10,28,10,26,12,13,1311,thiC,thiamine biosynthesis protein ThiC,,
CPE0680,4,616,64,755,9,48,3801,purL,phosphoribosylformylglycinamidine synthase,,
CPE0681,1,96,16,50,1,4,480,purE,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",39xCPE0682,
CPE0682,1,95,14,49,1,7,708,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,39xCPE0681 26xCPE0683,
CPE0683,1,165,17,37,3,16,1446,purF,amidophosphoribosyltransferase,34xCPE0684 26xCPE0682,
CPE0684,1,160,14,8,6,15,1002,purM,phosphoribosylaminoimidazole synthetase,63xCPE0685 34xCPE0683,
CPE0685,5,348,9,6,4,40,615,purN,phosphoribosylglycinamide formyltransferase,63xCPE0684 32xCPE0686,
CPE0686,7,237,28,17,12,28,1506,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,32xCPE0685,
CPE0687,3,158,18,4,10,17,960,purD,phosphoribosylamine-glycine ligase,,
CPE0688,162,239,163,64,117,219,363,,hypothetical protein,,
CPE0689,4635,8581,4430,10707,7106,8593,543,,hypothetical protein,,286xCPE0082 205xCPE2618
CPE0690,0,6,6,8,8,13,1401,argH,argininosuccinate lyase,,
CPE0691,3,4,1,6,10,15,1218,argG,argininosuccinate synthase,,
CPE0692,91,82,120,332,249,189,648,,translaldolase,,
CPE0693,137,134,0,6,125,254,5061,,hypothetical protein,,
CPE0694,65,131,100,296,57,96,1014,,3-deoxy-7-phosphoheptulonate synthase,30xCPE0695,
CPE0695,11,63,43,112,21,33,1053,aroB,3-dehydroquinate synthase,30xCPE0694,
CPE0696,11,38,19,42,9,38,1275,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,10xCPE0697,
CPE0697,20,50,29,32,28,37,1074,aroC,chorismate synthase,10xCPE0696 10xCPE0698,
CPE0698,45,63,35,27,54,38,294,,chorismate mutase,10xCPE0697,
CPE0699,4,10,3,10,1,9,153,,hypothetical protein,,
CPE0700,24,27,26,47,13,20,816,aroE,shikimate 5-dehydrogenase,,
CPE0701,13,55,22,76,15,70,516,aroK,shikimate kinase,3xCPE0702,
CPE0702,26,38,30,41,16,46,441,aroQ,3-dehydroquinate dehydratase,31xCPE0703 3xCPE0701,
CPE0703,14,31,26,38,14,25,516,,hypothetical protein,31xCPE0702,
CPE0704,4,6,3,11,5,8,333,,30S ribosomal protein,5xCPE0705,
CPE0705,3,20,7,15,14,31,858,,hypothetical protein,5xCPE0704,
CPE0706,5,26,3,25,9,37,843,,hypothetical protein,3xCPE0707,1xPCP23 1xCPE0472
CPE0707,57,103,76,114,56,122,891,,ABC transporter,59xCPE0708 3xCPE0706,
CPE0708,31,100,40,172,39,128,1212,,hypothetical protein,59xCPE0707 24xCPE0709,
CPE0709,53,118,101,146,59,121,990,cbh,choloylglycine hydrolase,24xCPE0708,
CPE0710,14,5,4,7,15,13,483,,AsnC family transcriptional regulator,11xCPE0711,
CPE0711,12,11,11,15,11,14,1179,aspC,aspartate aminotransferase,11xCPE0710,
CPE0712,19,149,107,656,26,57,1026,,hypothetical protein,,
CPE0713,45,320,68,150,50,173,465,,hypothetical protein,131xCPE0714,1xCPE2338
CPE0714,133,453,193,598,108,468,1143,,diacylglycerol glucosyltransferase,131xCPE0713,
CPE0715,164,248,112,330,306,285,516,,GNAT family acetyltransferase,,
CPE0716,0,1,1,3,1,0,519,sigW,RNA polymerase ECF-type sigma factor,,
CPE0717,6,9,14,19,14,16,1413,,hypothetical protein,,
CPE0718,26,68,49,66,31,48,1203,,DHHA1 domain protein,25xCPE0719,
CPE0719,19,27,22,45,21,19,1005,,capsular polysaccharide biosynthesis protein,25xCPE0718 2xCPE0720,
CPE0720,43,143,78,136,64,94,1176,,pheromone autoinducer 2 transporter,2xCPE0719,
CPE0721,42,36,31,142,38,59,858,,zinc transporter ZupT,,
CPE0722,29,46,16,45,48,47,663,,DeoR family transcriptional regulator,1xCPE0723,
CPE0723,26,38,22,62,42,49,789,,"HAD hydrolase, IIB family",1xCPE0722,
CPE0724,1,0,0,2,2,7,1029,splB,spore photoproduct lyase,,
CPE0725,6,4,3,14,6,10,2085,nanI,exo-alpha-sialidase,2xCPE0726,
CPE0726,2,5,4,12,11,12,1155,,N-acetylneuraminic acid mutarotase,2xCPE0725,
CPE0727,21,47,25,46,20,61,807,,transcriptional repressor DicA,2xCPE0728,
CPE0728,5,19,4,15,13,21,279,,short chain dehydrogenase,28xCPE0729 2xCPE0727,
CPE0729,2,12,5,7,11,13,501,,short chain dehydrogenase,28xCPE0728 1xCPE0730,
CPE0730,9,42,16,33,16,52,465,,putative acetyltransferase,1xCPE0729,
CPE0731,4,15,20,63,16,33,177,,hypothetical protein,2xCPE0732,
CPE0732,27,54,47,67,41,86,576,,hypothetical protein,2xCPE0731,
CPE0733,47,112,49,148,89,137,897,,LysR family transcriptional regulator,,
CPE0734,111,215,627,1675,66,410,1701,naoX,pyridine nucleotide-disulphide oxidoreductase,63xCPE0735,
CPE0735,40,200,429,1300,31,306,1287,,putative inner membrane protein,63xCPE0734 10xCPE0736,
CPE0736,14,59,52,77,26,66,1332,,amino acid ABC transporter permease,10xCPE0735,
CPE0737,15,39,21,38,11,32,663,,fibronectin-binding protein,,
CPE0738,47,346,102,459,58,159,279,,hypothetical protein,,
CPE0739,10,14,24,24,60,35,318,,thioredoxin,,
CPE0740,52,21,28,14,94,32,333,,hypothetical protein,31xCPE0741,
CPE0741,35,60,37,49,108,82,1212,,cytochrome C-type biogenesis protein,31xCPE0740,
CPE0742,28,46,33,117,44,49,1722,lipB,lipase,,
CPE0743,103,103,43,86,186,177,1452,cstA,carbon starvation protein CstA,,
CPE0744,48,82,35,21,47,66,303,,hypothetical protein,,
CPE0745,3,11,11,14,3,16,555,,hypothetical protein,,
CPE0746,7,8,4,6,5,8,702,,ABC transporter ATP-binding protein,6xCPE0747,
CPE0747,8,11,7,16,14,10,3399,,hypothetical protein,6xCPE0746,1xCPE0020
CPE0748,10,19,27,37,12,36,366,,hypothetical protein,,
CPE0749,44,85,61,47,52,90,1014,,hypothetical protein,11xCPE0750,
CPE0750,14,67,32,47,21,65,411,,hypothetical protein,29xCPE0751 11xCPE0749,
CPE0751,0,27,5,9,3,7,171,,hypothetical protein,29xCPE0750,
CPE0752,92,107,128,164,94,102,339,,hypothetical protein,139xCPE0753,
CPE0753,93,158,120,114,75,92,945,,hypothetical protein,139xCPE0752,
CPE0754,38,87,45,218,30,69,1458,clsC,cardiolipin synthetase,,
CPE0755,84,116,52,31,87,133,495,,NADH pyrophosphatase,,
CPE0756,9,11,5,14,11,16,1263,,cytosine deaminase,,
CPE0757,4,3,1,0,1,3,756,,creatinase,,
CPE0758,37,127,120,343,37,86,927,,threonine and homoserine efflux system,,
CPE0759,50,154,60,92,86,114,1200,,carbohydrate diacid transcriptional activator CdaR,,
CPE0760,18,27,15,16,25,29,411,def,peptide deformylase,,
CPE0761,16,71,38,104,47,74,1266,gltT,proton/sodium- glutamate symport protein,,
CPE0762,125,350,166,345,112,276,693,,HAD superfamily (subfamily IA) hydrolase,,
CPE0763,62,63,92,85,48,54,954,,hypothetical protein,,
CPE0764,0,0,1,0,2,3,630,,hypothetical protein,,
CPE0765,9,26,19,34,27,21,804,,transcriptional regulator,,
CPE0766,38,85,65,87,55,70,1395,,hypothetical protein,6xCPE0767,
CPE0767,23,41,30,76,19,44,1200,,IS1136 transposase,6xCPE0766,9xCPE0878 6xCPE0536 4xCPE2284 3xCPE0489 2xCPE0410 2xCPE0117 1xCPE2165 1xCPE0544 1xCPE0596
CPE0768,3573,4324,1901,2491,6383,5870,156,,hypothetical protein,1xCPE0769,13xCPE2599
CPE0769,10,9,6,15,30,18,1365,gutA,sugar transport protein,1xCPE0768,1xCPE1818 1xCPE1280 1xCPE1516 1xCPE2249 1xCPE2284 1xCPE1476 1xCPE1880
CPE0770,12,5,12,8,42,49,840,,transcriptional regulator,,
CPE0771,7,10,12,13,13,18,3030,bgaL,beta-galactosidase,,
CPE0772,41,177,56,163,58,127,1242,,hypothetical protein,4xCPE0773,1xCPE1340 1xCPE2358 1xCPE1864
CPE0773,1,17,2,17,2,5,153,,hypothetical protein,4xCPE0772,
CPE0774,19,120,63,481,18,60,747,,iron-sulfur cluster repair di-iron protein,14xCPE0775,
CPE0775,24,123,100,427,20,47,699,,iron-sulfur cluster repair di-iron protein,14xCPE0774 1xCPE0776,
CPE0776,24,47,42,44,23,32,702,,transcriptional regulator,1xCPE0775,
CPE0777,1,3,0,11,6,17,162,rubR1,rubredoxin,,
CPE0778,172,320,383,533,221,379,747,,flavohemoprotein,,
CPE0779,27,61,51,125,44,64,711,,transcriptional regulator,,
CPE0780,74,344,95,388,142,290,162,rubR2,rubredoxin,946xCPE0781,
CPE0781,97,401,166,466,182,313,1221,,metallo-beta-lactamase,946xCPE0780,
CPE0782,428,522,493,2277,532,846,570,,alkyl hydroperoxide reductase,,
CPE0783,103,165,135,729,103,264,1671,,thioredoxin reductase,,1xCPE0017
CPE0784,38,76,26,55,104,112,1707,vgaB,ABC transporter,,
CPE0785,5,41,5,57,10,30,1059,pfoS/R,regulatory protein,6xCPE0786,
CPE0786,6,38,22,82,16,33,927,apbA,2-dehydropantoate 2-reductase,6xCPE0785,
CPE0787,31,70,61,69,36,61,426,,MarR family transcriptional regulator,1xCPE0788,
CPE0788,72,221,143,116,85,208,504,,hypothetical protein,1xCPE0787 1xCPE0789,
CPE0789,128,400,118,913,159,427,444,,transcriptional regulator,7xCPE0790 1xCPE0788,
CPE0790,34,73,41,100,35,116,882,,pirin,67xCPE0791 7xCPE0789,
CPE0791,92,203,157,254,119,251,597,,NAD(P)H dehydrogenase,67xCPE0790,
CPE0792,22,30,23,257,37,56,951,,iron(III) dicitrate ABC transporter,,
CPE0793,2,5,11,187,16,25,1005,,iron(III) dicitrate ABC transporter,24xCPE0794,
CPE0794,4,4,5,110,6,26,1023,,iron(III) dicitrate ABC transporter,24xCPE0793 8xCPE0795,
CPE0795,6,15,13,56,12,24,771,,iron(III) dicitrate ABC transporter,8xCPE0794,
CPE0796,31,56,26,44,47,66,516,,MutT/nudix family protein,,
CPE0797,103,328,106,85,102,305,582,,PAP2 family protein,,
CPE0798,8,31,21,81,7,30,741,,hypothetical protein,,
CPE0799,18,55,34,91,33,65,1245,,hypothetical protein,,
CPE0800,5,25,35,77,39,51,528,,hypothetical protein,,
CPE0801,139,330,163,363,205,347,468,,hypothetical protein,,
CPE0802,0,4,3,4,1,4,360,,hypothetical protein,6xCPE0803,
CPE0803,1,4,4,10,6,5,378,,hypothetical protein,6xCPE0802 1xCPE0804,
CPE0804,129,197,127,236,128,154,1875,,sensory box protein/histidinol phosphate phosphatase,1xCPE0803,
CPE0805,8,17,9,23,19,27,1833,,cyclomaltodextrinase,,3xCPE0489 2xCPE1858
CPE0806,93,78,31,66,132,248,1284,,hypothetical protein,,1xCPE1079 1xCPE1702 1xCPE1579
CPE0807,3,6,4,28,3,6,504,,hypothetical protein,,
CPE0808,149,64,29,7,204,213,546,,hypothetical protein,,
CPE0809,475,1073,191,387,307,672,621,,vancomycin high temperature exclusion protein,,
CPE0810,19,38,21,55,37,65,945,fhuD,iron(III) dicitrate ABC transporter,4xCPE0811,
CPE0811,2,6,2,9,1,7,1014,fhuB,ferrichrome ABC transporter,4xCPE0810 3xCPE0812,
CPE0812,2,8,7,10,10,4,1014,fhuG,ferrichrome ABC transporter,3xCPE0811 2xCPE0813,
CPE0813,0,5,9,6,7,11,783,fhuC,ferrichrome ABC transporter,2xCPE0812,
CPE0814,52,30,21,9,121,49,489,,GNAT family acetyltransferase,31xCPE0815,
CPE0815,19,40,19,25,35,66,216,,hypothetical protein,95xCPE0816 31xCPE0814,
CPE0816,10,32,10,20,25,35,318,,hypothetical protein,95xCPE0815,
CPE0817,18,191,41,358,45,193,327,,hypothetical protein,,
CPE0818,135,88,8,26,988,600,3384,,endo-beta-N-acetylglucosaminidase,,
CPE0819,2,12,29,18,12,12,909,ddl,D-alanine--D-alanine ligase,1xCPE0820,
CPE0820,19,35,35,54,22,50,828,,putative hydrolase,1xCPE0819,
CPE0821,125,361,251,1260,125,583,981,,PTS system,104xCPE0822,
CPE0822,145,223,107,386,112,307,804,,"PTS system, mannose/fructose/sorbose family, IIC component",311xCPE0823 104xCPE0821,
CPE0823,224,340,200,598,196,648,492,,PTS system,993xCPE0824 311xCPE0822,
CPE0824,204,333,207,645,183,609,459,,PTS system,993xCPE0823 2xCPE0825,
CPE0825,15,5,12,13,13,15,375,,hypothetical protein,2xCPE0824,
CPE0826,101,466,199,1007,165,422,252,,hypothetical protein,,
CPE0827,388,1335,642,1278,247,916,918,,polysaccharide deacetylase,,
CPE0828,87,281,79,172,93,158,783,,hypothetical protein,,
CPE0829,180,430,163,130,189,297,942,,hypothetical protein,,
CPE0830,1,0,0,4,1,11,1356,,multidrug efflux pump VmrA,,
CPE0831,59,54,31,18,216,189,2415,bgaL,beta-galactosidase,,
CPE0832,2,4,5,8,1,5,954,,hypothetical protein,,
CPE0833,31,67,37,115,25,69,1821,,ABC transporter,8xCPE0834,
CPE0834,20,31,20,27,34,37,1791,,ABC transporter,8xCPE0833,
CPE0835,39,82,50,79,14,34,498,,hypothetical protein,11xCPE0836,
CPE0836,27,43,16,12,18,24,1629,,hypothetical protein,11xCPE0835,
CPE0837,6,9,9,24,11,11,285,,transcriptional regulator,7xCPE0838,
CPE0838,4,19,14,12,10,13,399,,arsenate reductase,14xCPE0839 7xCPE0837,
CPE0839,20,29,36,31,49,48,1317,,multidrug efflux protein,14xCPE0838,
CPE0840,20,54,55,141,17,48,669,,two-component response regulator,65xCPE0841,
CPE0841,15,50,44,69,17,50,1011,,two-component sensor histidine kinase,65xCPE0840,
CPE0842,1,1,4,0,2,7,168,,hypothetical protein,1xCPE0843,
CPE0843,4,12,6,8,4,10,414,,hypothetical protein,1xCPE0842,
CPE0844,150,212,71,150,3,7,159,,hypothetical protein,244xCPE0845,
CPE0845,805,900,401,1325,9,16,612,,hypothetical protein,244xCPE0844,
CPE0846,511,676,891,1304,6,14,1575,,alpha-clostripain,,
CPE0847,1,7,9,13,3,3,795,,hypothetical protein,,
CPE0848,21,61,28,77,27,48,738,,hypothetical protein,,
CPE0849,7,19,17,20,27,44,651,,hypothetical protein,,1xCPE1340 1xCPE1516 1xCPE0021 1xCPE2284 1xCPE0117 1xCPE0216 1xCPE1899 1xCPE1864 1xCPE1880
CPE0850,4,7,14,26,2,13,768,,ABC transporter,18xCPE0851,
CPE0851,7,13,16,27,9,26,2055,,ABC transporter,18xCPE0850,
CPE0852,36,78,28,47,40,82,1422,,putative alpha-glucosidase,,
CPE0853,62,177,72,273,78,166,303,,hypothetical protein,,
CPE0854,35,84,374,555,93,97,1143,aspC,aminotransferase class V,5xCPE0855,
CPE0855,28,51,237,180,214,188,540,rubY,rubrerythrin,5xCPE0854,
CPE0856,23,23,15,18,26,37,3069,,alpha-mannosidase,,
CPE0857,138,458,408,589,140,329,558,,ribosomal-protein-L7/L12-serine acetyltransferase,,
CPE0858,86,141,83,276,201,239,1173,bdhA,NADH-dependent butanol dehydrogenase,,
CPE0859,14,7,8,3,17,9,939,,carbohydrate diacid regulator,,
CPE0860,7,5,2,6,5,7,1260,,gluconate permease,,
CPE0861,3,22,8,15,5,13,1122,,glycerate kinase II,,
CPE0862,35,53,36,65,35,48,1437,deaD,ATP-dependent RNA helicase DeaD,,
CPE0863,161,407,270,1133,230,782,459,,hypothetical protein,,
CPE0864,17,55,19,20,66,100,1425,,MATE efflux family protein,9xCPE0865,
CPE0865,2,4,3,4,4,16,174,,hypothetical protein,9xCPE0864,
CPE0866,34,38,10,21,437,333,6315,,alpha-N-acetylglucosaminidase,,
CPE0867,0,2,0,2,13,30,180,,hypothetical protein,,1xCPE1340 1xCPE2159 1xCPE1564 1xCPE0021 1xCPE1586
CPE0868,35,61,142,126,28,66,1161,alr,alanine racemase,,
CPE0869,20,37,23,39,17,33,570,,GNAT family acetyltransferase,,
CPE0870,43,113,39,244,129,265,1119,,two-component sensor histidine kinase,2xCPE0871,
CPE0871,87,304,87,471,170,580,564,,putative accessory gene regulator protein,2xCPE0870,
CPE0872,55,147,87,269,116,330,1776,,"metallopeptidase, M24 family",1xCPE0873,
CPE0873,0,7,1,4,0,4,402,,hypothetical protein,4xCPE0874 1xCPE0872,
CPE0874,25,52,18,114,38,60,219,,hypothetical protein,7xCPE0875 4xCPE0873,1xCPE1007
CPE0875,82,207,85,391,177,188,1128,,metalloprotease,9xCPE0876 7xCPE0874,
CPE0876,35,56,30,63,90,74,444,,GNAT family acetyltransferase,9xCPE0875,
CPE0877,103,218,52,119,216,148,666,,hypothetical protein,9xCPE0878,
CPE0878,149,241,97,199,234,179,1173,,transposase,9xCPE0877,168xCPE0537 9xCPE0767 8xCPE0410 1xCPE1200
CPE0879,32,74,37,45,43,85,543,,GNAT family acetyltransferase,,
CPE0880,0,1,0,0,1,4,756,,hypothetical protein,,
CPE0881,80,38,9,10,142,145,3894,nagI,hyaluronidase,,
CPE0882,67,204,126,109,101,571,321,,hypothetical protein,,
CPE0883,38,130,100,208,47,111,189,,hypothetical protein,114xCPE0884,
CPE0884,43,89,77,193,81,112,816,,ABC transporter,114xCPE0883 70xCPE0885,
CPE0885,59,143,99,160,88,143,1650,,hypothetical protein,70xCPE0884,
CPE0886,11,31,5,3,884,743,786,,LysM domain protein,,
CPE0887,6,6,5,6,11,12,552,,ubiquinone/menaquinone biosynthesis methyltransfera,,
CPE0888,45,105,123,215,56,93,651,,"pyrophosphatase, MutT/nudix family",33xCPE0889,1xCPE1340 1xCPE2162 1xCPE2201 1xCPE1484 1xCPE0117
CPE0889,28,79,55,75,34,74,420,,hypothetical protein,33xCPE0888,
CPE0890,9,31,5,17,9,12,255,,hypothetical protein,53xCPE0891,
CPE0891,5,25,8,15,6,8,456,,hypothetical protein,53xCPE0890,
CPE0892,57,43,12,17,64,36,1131,,NADPH-dependent butanol dehydrogenase,,
CPE0893,140,111,83,93,184,172,351,pduU,propanediol utilization protein,106xCPE0894,
CPE0894,35,29,13,40,48,48,435,pduV,propanediol utilization protein,106xCPE0893 20xCPE0895,
CPE0895,31,23,5,32,55,31,576,,two-component response regulator,68xCPE0896 20xCPE0894,
CPE0896,65,43,23,60,121,89,1428,,two-component sensor histidine kinase,68xCPE0895,
CPE0897,31,14,6,17,30,6,1434,eutA,reactivating factor for ethanolamine ammonia lyase,5xCPE0898,
CPE0898,10,5,0,3,6,3,1368,eutB,ethanolamine ammonia lyase heavy chain,5xCPE0897 1xCPE0899,
CPE0899,1,3,1,4,2,2,888,eutC,ethanolamine ammonia-lyase small subunit,4xCPE0900 1xCPE0898,1xCPE1882
CPE0900,3,0,2,3,1,2,654,eutL,ethanolamine utilization protein,4xCPE0899,
CPE0901,1,2,0,0,3,0,786,pduJ,propanediol utilization protein,1xCPE0902,
CPE0902,4,7,1,6,2,1,1479,adhE,alcohol dehydrogenase,1xCPE0901,
CPE0903,97,117,51,120,91,90,291,pduJ,propanediol utilization protein,9xCPE0904,
