ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VC1018_1_excinuclease_ABC_subunit_B	1087966	1089819	+	48836	643	6.34497	57.7449	43536	431	4.751	50.5584	72272	951	7.36031	43.6347	156754	1552	12.9692	67.9203	109354	1439	11.1065	76.8188	148800	1958	16.1742	78.8637	46	1	0.784278	20.0105	1491	46	5.59571	179.14	1705	53	6.37487	94.1507	2652	82	5.69208	85.0321
VC1020_hypothetical_protein	1089757	1089957	-	475	6	0.571779	5.2037	0.5	0	0.000505536	0.00537972	841	11	0.793537	4.7044	728	7	0.558046	2.92252	234	3	0.220193	1.52298	0.5	0	0.000503541	0.00245522	0.5	0	0.078982	2.01519	76	2	2.64263	84.6009	0.5	0	0.0173206	0.255808	62	2	1.23292	18.4182
VC1021_LuxO_repressor_protein	1090250	1091617	+	137520	1809	24.2193	220.417	167208	1656	24.7343	263.214	176408	2321	24.3529	144.374	253091	2506	28.3842	148.65	150048	1974	20.6575	142.879	199178	2621	29.3473	143.094	549	17	12.688	323.727	1472	46	7.48846	239.734	2401	74	12.1688	179.721	5311	164	15.4518	230.83
VC1022_phosphorelay_protein	1091621	1091962	+	30327	399	21.4111	194.86	22027	218	13.0621	139.002	30417	400	16.8331	99.7929	61307	607	27.5629	144.348	23407	308	12.9184	89.351	34969	460	20.6549	100.711	39	1	3.61325	92.1903	265	8	5.40437	173.015	216	7	4.38856	64.8148	584	18	6.81132	101.752
VC1023_hypothetical_protein	1091951	1092841	-	23047	303	6.23432	56.7379	31193	309	7.08727	75.4201	43269	569	9.17462	54.3907	86997	861	14.9859	78.4821	47876	630	10.1238	70.0222	71583	942	16.2	78.9896	175	5	6.21206	158.498	1114	34	8.70459	278.668	894	28	6.95937	102.783	1197	37	5.34905	79.9078
VC1024_molybdenum_cofactor_biosynthesis_protein_A	1093132	1094136	+	19750	260	4.73585	43.1005	15765	156	3.17521	33.7894	82109	1080	15.4333	91.4945	83065	822	12.6839	66.4264	36216	477	6.78865	46.9543	52539	691	10.5401	51.3923	27	1	0.849607	21.6773	796	25	5.51357	176.511	937	29	6.46589	95.495	1752	54	6.94022	103.678
VC1025_molybdenum_cofactor_biosynthesis_protein_B	1094196	1094708	+	20853	274	9.80536	89.2375	22490	223	8.88242	94.5234	67287	885	24.8006	147.028	102478	1015	30.6852	160.7	48590	639	17.8605	123.534	78008	1026	30.6877	149.63	62	2	3.82569	97.6106	641	20	8.70645	278.727	1864	58	25.2231	372.521	2357	73	18.3089	273.511
VC1026_molybdenum_cofactor_biosynthesis_protein_C	1094716	1095198	+	15609	205	7.79638	70.954	17021	169	7.14085	75.9903	50692	667	19.8469	117.66	73241	725	23.2957	122.001	33274	438	12.992	89.8599	49956	657	20.8754	101.787	198	6	12.9779	331.126	311	10	4.48711	143.65	670	21	9.63053	142.234	1071	33	8.83721	132.016
VC1027_molybdopterin_synthase_small_subunit	1095195	1095440	+	9557	126	9.39118	85.4681	9161	91	7.56116	80.4631	21685	285	16.703	99.0219	37154	368	23.2492	121.758	17708	233	13.6025	94.0831	18493	243	15.2032	74.1295	66	2	8.51071	217.147	259	8	7.35168	235.356	244	8	6.89995	101.906	498	15	8.08418	120.767
VC1028_molybdenum_cofactor_biosynthesis_protein_E	1095442	1095894	+	18459	243	9.83184	89.4784	17580	174	7.86488	83.6951	31685	417	13.2287	78.4247	53605	531	18.1817	95.2189	26140	344	10.8839	75.2793	34112	449	15.2007	74.1171	0.5	0	0.0349478	0.891675	350	11	5.38496	172.393	420	13	6.43774	95.0792	821	25	7.22399	107.917
VC1029_GGDEF_family_protein	1095909	1096883	-	4279	56	1.05767	9.62569	5304	53	1.10117	11.7183	3927	52	0.760857	4.51066	9390	93	1.478	7.74039	11185	147	2.16119	14.9481	9146	120	1.89133	9.22194	0.5	0	0.0162181	0.413796	526	16	3.75561	120.231	234	7	1.66448	24.5828	476	15	1.94366	29.0357
VC1030_hypothetical_protein	1096938	1097030	-	3	0	0.00785052	0.0714467	0.5	0	0.00109899	0.011695	0.5	0	0.00102561	0.00608023	54	1	0.0899859	0.471262	0.5	0	0.00102282	0.00707441	0.5	0	0.00109465	0.00533743	0.5	0	0.1717	4.38084	61	2	4.611	147.616	0.5	0	0.0376534	0.556105	0.5	0	0.021615	0.322899
VC1031_inosine_monophosphate_dehydrogenase-related_protein	1097088	1097528	+	16320	215	8.92961	81.2674	7988	79	3.67111	39.0666	9988	131	4.28378	25.3959	13964	138	4.86548	25.4808	10953	144	4.68487	32.4033	12331	162	5.64469	27.523	0.5	0	0.0359009	0.915994	125	4	1.97565	63.2483	2472	77	38.9241	574.871	4848	150	43.821	654.628
VC1032_hypothetical_protein	1097461	1097658	-	0.5	0	0.000611039	0.00556099	0.5	0	0.000513234	0.00546165	114	2	0.109204	0.647406	385	4	0.299615	1.5691	112	1	0.106996	0.740048	148	2	0.151318	0.737811	0.5	0	0.0801847	2.04587	207	6	7.30731	233.935	98	3	3.44653	50.902	107	3	2.16018	32.2703
VC1033_zinc/cadmium/mercury/lead-transporting_ATPase	1097641	1099947	+	64912	854	6.77689	61.6757	203874	2019	17.8778	190.249	1.03E+06	13565	84.3659	500.154	836128	8278	55.5881	291.118	419895	5525	34.2688	237.022	423995	5579	37.0336	180.572	6133	192	84.0236	2143.82	17957	556	54.1536	1733.67	2494	77	7.49306	110.665	3985	123	6.87292	102.672
VC1034_uridine_phosphorylase	1100393	1101169	+	80533	1060	24.9849	227.384	247037	2446	64.3742	685.047	351941	4631	85.5873	507.395	1.51E+06	14923	297.764	1559.41	690312	9083	167.417	1157.96	641499	8441	166.506	811.866	823	26	33.5063	854.896	6098	189	54.6486	1749.51	11276	349	100.674	1486.85	20137	623	103.206	1541.76
VC1035_hypothetical_protein	1101242	1102135	-	1386	18	0.37366	3.40064	1380	14	0.312492	3.32543	4312	57	0.911231	5.40213	1428	14	0.245158	1.28391	3080	41	0.649107	4.4896	2570	34	0.579664	2.82639	144	5	5.09447	129.983	475	15	3.69909	118.422	0.5	0	0.00387919	0.0572919	68	2	0.302852	4.52421
VC1036_methionyl-tRNA_synthetase	1102361	1104412	-	391781	5155	45.9878	418.53	464255	4597	45.7723	487.092	423312	5570	38.949	230.905	623418	6172	46.5996	244.045	447194	5884	41.0343	283.817	750801	9879	73.7316	359.508	808	25	12.4461	317.556	1869	58	6.33719	202.878	6173	191	20.8523	307.968	10084	312	19.5542	292.114
VC1037_mrp_protein	1104498	1105646	+	44830	590	9.40138	85.5609	60356	598	10.6314	113.135	104766	1379	17.2218	102.098	260318	2577	34.7641	182.062	199017	2619	32.6261	225.661	291269	3832	51.1031	249.174	205	6	5.64157	143.942	938	29	5.68217	181.908	2680	83	16.1739	238.873	4051	125	14.0344	209.655
VC1038_uridine_kinase	1105805	1106464	+	60466	796	22.0897	201.036	34825	345	10.6861	113.717	162271	2135	46.4683	275.482	154652	1531	35.9781	188.42	91805	1208	26.2179	181.338	116010	1526	35.4572	172.886	59	2	2.82849	72.1675	427	13	4.50605	144.256	333	10	3.50091	51.7051	861	27	5.19625	77.6252
VC1039_asmA_protein	1106562	1108673	+	169074	2225	19.2821	175.484	170036	1684	16.2879	173.33	252167	3318	22.5425	133.64	510469	5054	37.0723	194.15	431049	5672	38.4287	265.795	588833	7748	56.1822	273.939	734	23	10.9849	280.274	2030	63	6.68746	214.091	5458	169	17.913	264.557	10873	337	20.4849	306.017
VC1040_cob(I)yrinic_acid_a,c-diamide_adenosyltransferase	1108745	1109350	-	15263	201	6.07364	55.2756	13240	131	4.42532	47.0926	86567	1139	27.0021	160.079	229389	2271	58.1281	304.42	158522	2086	49.3118	341.069	223011	2934	74.2447	362.01	39	1	2.03656	51.9618	240	7	2.75873	88.3176	191	6	2.18726	32.3037	299	9	1.96557	29.363
VC1041_phosphotyrosine_protein_phosphatase	1109436	1109903	+	16485	217	8.4984	77.3429	9993	99	4.32704	46.0467	17287	227	6.9856	41.4134	23892	237	7.8434	41.0764	22940	302	9.24471	63.9418	31624	416	13.6394	66.5043	84	3	5.68264	144.99	297	9	4.42275	141.589	58	2	0.860465	12.7083	143	4	1.21784	18.193
VC1042_long-chain_fatty_acid_transport_protein	1109930	1111228	-	31921	420	5.92061	53.8828	38914	385	6.06238	64.5136	31168	410	4.53143	26.8641	13144	130	1.55246	8.13035	5834	77	0.84588	5.85059	8790	116	1.36398	6.65065	27	1	0.657169	16.7673	381	12	2.04128	65.3494	75	2	0.400321	5.91237	235	7	0.720055	10.7567
VC1043_long-chain_fatty_acid_transport_protein	1111531	1112817	-	435827	5735	81.5902	742.543	50948	504	8.01121	85.2523	443087	5830	65.0203	385.466	239905	2375	28.6001	149.78	111086	1462	16.2568	112.441	130210	1713	20.3938	99.4382	931	29	22.8716	583.558	2122	66	11.4751	367.363	7325	227	39.4629	582.829	14352	444	44.3858	663.065
VC1044_hypothetical_protein	1113077	1113838	-	27230	358	8.61446	78.3992	19100	189	5.07529	54.0093	59952	789	14.8669	88.1367	41020	406	8.2638	43.278	35480	467	8.77437	60.6886	56427	742	14.9347	72.8202	218	7	9.05023	230.912	734	23	6.70756	214.735	695	22	6.32736	93.4491	1001	31	5.23145	78.151
VC1045_RNA_polymerase_sigma_factor	1113801	1114367	-	25115	330	10.6827	97.2222	15904	157	5.68201	60.4658	48125	633	16.0456	95.1244	62285	617	16.8708	88.3534	27083	356	9.00528	62.2857	55611	732	19.7897	96.4926	192	6	10.717	273.439	359	11	4.41094	141.211	446	14	5.45935	80.6294	739	23	5.19279	77.5734
VC1046_3-ketoacyl-CoA_thiolase	1114748	1116202	+	75427	992	12.489	113.661	83952	831	11.6756	124.247	165543	2178	21.4856	127.375	126005	1248	13.2859	69.5792	50104	659	6.48522	44.8555	80092	1054	11.0948	54.0972	369	12	8.0177	204.568	1303	40	6.23208	199.513	8935	277	42.5748	628.789	17031	527	46.5852	695.922
VC1047_multifunctional_fatty_acid_oxidation_complex_subunit_alpha	1116202	1118328	+	125366	1650	14.1965	129.201	104298	1033	9.92029	105.568	62418	821	5.54048	32.8461	91483	906	6.59699	34.5488	75500	993	6.68345	46.2266	110719	1457	10.4895	51.1457	842	26	12.5123	319.245	1756	54	5.744	183.888	11074	343	36.0881	532.986	18605	576	34.8048	519.938
VC1048_hypothetical_protein	1118454	1119002	+	31459	414	13.8207	125.78	25981	257	9.5871	102.022	86204	1134	29.6857	175.989	172374	1707	48.2236	252.55	254716	3352	87.4767	605.04	328893	4328	120.884	589.419	278	9	16.027	408.921	785	24	9.9619	318.919	1964	61	24.8304	366.721	2824	87	20.4954	306.175
VC1049_LysR_family_transcriptional_regulator	1119081	1119980	-	45215	595	12.1084	110.197	95428	945	21.4649	228.421	64062	843	13.4475	79.7221	485507	4807	82.7951	433.603	179294	2359	37.5338	259.606	239187	3147	53.5886	261.293	423	13	14.8651	379.276	1340	41	10.3657	331.846	1041	32	8.02257	118.486	1919	59	8.48961	126.824
VC1050_response_regulator	1120189	1121295	+	31667	417	6.89313	62.7336	24036	238	4.39459	46.7656	21642	285	3.69269	21.8917	30843	305	4.27533	22.3902	33683	443	5.73156	39.6428	43814	577	7.97907	38.9052	231	7	6.59849	168.357	895	28	5.62757	180.16	2790	86	17.4772	258.121	4491	139	16.1496	241.253
VC1051_hypothetical_protein	1121465	1121596	+	10718	141	19.6973	179.263	5751	57	8.87736	94.4696	30561	402	44.0248	260.996	49477	490	57.9029	303.241	19781	260	28.418	196.555	21782	287	33.4905	163.296	34	1	8.19965	209.21	116	4	6.158	197.141	184	6	9.73125	143.721	530	16	16.0908	240.375
VC1052_hypothetical_protein	1121596	1121994	+	9591	126	5.80157	52.7995	4259	42	2.1639	23.0274	40139	528	19.032	112.829	26020	258	10.0229	52.4905	9800	129	4.63404	32.0517	10680	141	5.40484	26.3535	90	3	7.1441	182.278	306	9	5.34677	171.171	77	2	1.34039	19.7962	249	8	2.48822	37.1707
VC1053_adenine_phosphoribosyltransferase	1122126	1122671	+	62156	818	27.4569	249.882	48938	485	18.1577	193.228	122542	1612	42.4316	251.551	185243	1834	52.1091	272.899	75968	1000	26.2332	181.444	101183	1331	37.3943	182.331	216	7	12.5212	319.472	481	15	6.13765	196.49	770	24	9.78851	144.567	1540	48	11.2382	167.884
VC1054_DNA_polymerase_III_subunits_gamma_and_tau	1122690	1124768	+	147888	1946	17.1337	155.932	151005	1495	14.6946	156.374	468830	6169	42.5766	252.411	317816	3147	23.4476	122.797	255306	3359	23.1224	159.928	311566	4100	30.1995	147.25	434	14	6.5983	168.352	2270	70	7.59685	243.204	2437	75	8.12517	120.001	4857	150	9.29598	138.87
VC1055_hypothetical_protein	1124806	1125168	+	97294	1280	64.7057	588.879	74148	734	41.4193	440.769	135222	1779	70.492	417.904	272075	2694	115.226	603.443	179663	2364	93.4043	646.038	302201	3976	168.144	819.855	193	6	16.8437	429.758	464	14	8.91379	285.365	1040	32	19.9043	293.968	1793	56	19.699	294.277
VC1056_recombination_protein_RecR	1125183	1125785	+	70967	934	28.3808	258.291	37984	376	12.759	135.776	123838	1629	38.8203	230.142	130605	1293	33.2607	174.189	87378	1150	27.3163	188.936	141609	1863	47.3794	231.017	60	2	3.14878	80.3397	645	20	7.45103	238.536	989	31	11.3821	168.103	2507	78	16.5627	247.425
VC1057_proteinase_inhibitor,_putative	1125895	1126146	-	6137	81	5.88637	53.5712	2499	25	2.01328	21.4246	13358	176	10.0431	59.5395	3204	32	1.95698	10.2488	1452	19	1.0887	7.53011	1283	17	1.02955	5.01999	0.5	0	0.0629338	1.60573	136	4	3.76806	120.63	0.5	0	0.0138013	0.203831	35	1	0.554583	8.28475
VC1058_hypothetical_protein	1126281	1126718	+	24709	325	13.6125	123.886	17224	171	7.97011	84.815	34397	453	14.8539	88.0596	17629	175	6.18465	32.3894	7086	93	3.05166	21.1071	10343	136	4.76716	23.2442	0.5	0	0.0361473	0.922282	225	7	3.58059	114.628	29	1	0.459768	6.79034	108	3	0.982913	14.6834
VC1059_short_chain_dehydrogenase	1126812	1127555	-	67378	887	21.832	198.691	61592	610	16.7628	178.384	106119	1396	26.9529	159.787	164549	1629	33.9528	177.813	103753	1365	26.2802	181.769	119133	1568	32.2952	157.468	275	9	11.6932	298.345	998	31	9.34103	299.043	1597	49	14.8915	219.933	3585	111	19.1899	286.672
VC1060_putative_periplasmic_protease	1127714	1128775	+	108910	1433	24.7125	224.906	118394	1172	22.5645	240.123	154719	2036	27.5188	163.142	259999	2574	37.5686	196.749	224080	2948	39.747	274.913	319672	4206	60.6854	295.896	289	9	8.60539	219.562	837	26	5.48609	175.631	1364	42	8.90679	131.545	3295	102	12.3513	184.512
VC1061_cysteine_synthase/cystathionine_beta-synthase_family_protein	1128900	1129967	-	20359	268	4.59364	41.8062	21886	217	4.14776	44.1389	16183	213	2.86217	16.9681	95620	947	13.7389	71.9516	5066	67	0.893547	6.18029	4727	62	0.89231	4.35082	207	6	6.12906	156.38	1399	43	9.11814	291.907	310	10	2.01289	29.7284	606	19	2.25882	33.7437
VC1062_AsnC_family_transcriptional_regulator	1130011	1130547	+	11347	149	5.09661	46.3836	8194	81	3.09131	32.8966	24701	325	8.69663	51.557	55368	548	15.8366	82.9374	21820	287	7.66138	52.9905	24728	325	9.29221	45.3079	39	1	2.29873	58.6509	396	12	5.13788	164.483	210	7	2.71442	40.0894	210	7	1.55821	23.2777
VC1063_acyl-CoA_thioesterase_II	1130556	1131416	-	48791	642	13.6586	124.305	27966	277	6.57573	69.9764	43574	573	9.56159	56.6848	145490	1440	25.936	135.829	81340	1070	17.8001	123.116	133216	1753	31.1999	152.128	36	1	1.32249	33.7427	1031	32	8.33707	266.902	1331	41	10.7226	158.363	2239	69	10.3545	154.682
VC1064_lipoprotein-related_protein	1131567	1131998	+	82462	1085	46.0619	419.204	111100	1100	52.1253	554.698	107735	1418	47.1716	279.652	196798	1948	70.0023	366.606	117978	1552	51.5158	356.313	130140	1712	60.8175	296.54	0.5	0	0.0366506	0.935121	656	20	10.5847	338.858	1061	33	17.0553	251.891	1624	50	14.9858	223.869
VC1065_methylated-DNA--protein-cysteine_methyltransferase-related_protein	1132052	1132354	-	2650	35	2.11253	19.2259	4785	47	3.20396	34.0953	4589	60	2.86756	17	10442	103	5.30085	27.7609	3772	50	2.35062	16.2582	7461	98	4.97605	24.2627	0.5	0	0.0523059	1.33456	114	4	2.62513	84.0406	94	3	2.15647	31.849	74	2	0.974535	14.5583
VC1066_hypothetical_protein	1132405	1133148	+	59595	784	19.3102	175.74	92367	915	25.1385	267.515	37724	496	9.58142	56.8024	49384	489	10.1898	53.3647	73013	961	18.4939	127.914	54233	714	14.7018	71.6844	69	2	2.93392	74.8575	738	23	6.9075	221.136	1078	33	10.052	148.458	1666	52	8.91782	133.221
VC1067_hypothetical_protein	1133235	1135316	+	27206	358	3.14744	28.6445	23231	230	2.2574	24.0224	65850	866	5.97152	35.4015	53246	527	3.92269	20.5433	41835	550	3.78342	26.1683	58969	776	5.70751	27.8293	338	11	5.13136	130.924	1265	39	4.22738	135.335	901	28	2.99968	44.3024	1889	58	3.61021	53.9318
VC1068_ArsR_family_transcriptional_regulator	1135858	1136199	+	4345	57	3.06761	27.918	5217	52	3.0937	32.922	47101	620	26.0662	154.53	15280	151	6.8697	35.977	6245	82	3.44663	23.8389	10237	135	6.04663	29.4828	0.5	0	0.0463237	1.18193	204	6	4.16034	133.189	233	7	4.73395	69.916	359	11	4.18709	62.5497
VC1069_glyceraldehyde-3-phosphate_dehydrogenase	1136296	1137297	+	26569	350	6.39008	58.1554	29750	295	6.00986	63.9547	170725	2246	32.1858	190.81	79199	784	12.1298	63.5246	46934	618	8.8241	61.0326	67471	888	13.5762	66.1962	7	0	0.220929	5.63689	750	23	5.21051	166.809	574	18	3.97283	58.6749	1435	44	5.70152	85.1732
VC1070_phosphatase,_putative	1137311	1137808	+	16165	213	7.8304	71.2636	14185	140	5.77145	61.4176	53714	707	20.3954	120.912	24850	246	7.66547	40.1445	24855	327	9.41183	65.0977	38601	508	15.6436	76.2767	26	1	1.65274	42.1689	552	17	7.72389	247.271	532	16	7.41613	109.529	735	23	5.88171	87.865
VC1071_transporter,_putative	1137847	1139082	+	11980	158	2.33536	21.2539	7678	76	1.25717	13.3783	21085	277	3.22187	19.1005	11639	115	1.44483	7.56667	6683	88	1.01841	7.04389	7346	97	1.19806	5.84163	0.5	0	0.0127906	0.326346	479	15	2.69725	86.3495	458	14	2.56934	37.9466	610	19	1.96442	29.3459
VC1072_hypothetical_protein	1139201	1139344	+	508	7	0.855249	7.78353	16	0	0.0226254	0.240771	15	0	0.019795	0.117353	632	6	0.677563	3.54844	52	1	0.0684359	0.473342	0.5	0	0.000704253	0.00343387	23	1	5.08136	129.648	18	1	0.875366	28.0238	0.5	0	0.0242246	0.357774	25	1	0.695307	10.387
VC1073_chitinase,_putative	1139646	1142912	+	28898	380	2.13018	19.3865	14770	146	0.914484	9.7316	39460	519	2.28004	13.5169	16947	168	0.795509	4.16613	12357	163	0.712055	4.92499	13563	178	0.836439	4.0784	0.5	0	0.00483662	0.123404	1704	53	3.62833	116.157	173	5	0.366988	5.42007	238	7	0.289823	4.32958
VC1074_hypothetical_protein	1143002	1143832	-	9976	131	2.89363	26.3346	2590	26	0.631006	6.71493	16524	217	3.75697	22.2728	13076	129	2.41527	12.6489	7577	100	1.71805	11.883	7398	97	1.79527	8.75359	0.5	0	0.0190318	0.485587	525	16	4.3988	140.823	105	3	0.876463	12.9445	321	10	1.53815	22.978
VC1075_hypothetical_protein	1144116	1144658	+	12234	161	5.43418	49.4559	10144	100	3.78461	40.2745	7871	104	2.74051	16.2468	15547	154	4.3976	23.0305	24595	324	8.54013	59.0685	34857	459	12.9535	63.1598	0.5	0	0.0291446	0.743611	651	20	8.35285	267.407	128	4	1.63619	24.1649	234	7	1.71707	25.6508
VC1076_AraC/XylS_family_transcriptional_regulator	1144671	1145510	+	10037	132	2.8801	26.2114	5523	55	1.33114	14.1655	8633	114	1.94178	11.5116	17293	171	3.15993	16.5487	12166	160	2.72899	18.8753	18779	247	4.50822	21.9817	82	3	3.08773	78.782	125	4	1.0361	33.1695	216	7	1.78367	26.3431	391	12	1.85348	27.6885
VC1077_hypothetical_protein	1145507	1145995	-	98359	1294	48.5243	441.614	83762	829	34.7087	369.358	74293	978	28.7296	170.32	223640	2214	70.2584	367.948	86948	1144	33.5318	231.925	144977	1908	59.8376	291.762	154	5	9.96985	254.376	831	26	11.8423	379.116	336	10	4.77026	70.4521	641	20	5.22409	78.0411
VC1078_hypothetical_protein	1146074	1146214	-	4145	55	7.1279	64.8702	2673	26	3.86085	41.0857	14522	191	19.5749	116.048	9766	97	10.6944	56.0073	3287	43	4.41864	30.5619	3093	41	4.44986	21.6971	0.5	0	0.112831	2.87884	146	5	7.25234	232.175	46	1	2.27642	33.6205	9	0	0.255674	3.81944
VC1079_hypothetical_protein	1146259	1147248	-	67154	884	16.3471	148.773	72905	722	14.9064	158.628	130015	1711	24.8084	147.074	79239	785	12.2832	64.3278	32815	432	6.24443	43.1901	45850	603	9.33765	45.5295	98	3	3.13053	79.8739	1018	32	7.15821	229.162	866	27	6.06658	89.5976	1136	35	4.5683	68.2444
VC1080_hypothetical_protein	1147494	1147859	+	34293	451	22.6192	205.855	40397	400	22.3804	238.164	17407	229	8.99979	53.3542	52142	516	21.901	114.697	126625	1666	65.2895	451.58	97938	1289	54.0447	263.517	200	6	17.3111	441.685	565	17	10.7649	344.625	668	21	12.6796	187.266	1444	45	15.7343	235.049
VC1081_response_regulator	1147856	1148998	+	78349	1031	16.517	150.32	83081	823	14.7112	156.551	28971	381	4.78739	28.3815	123759	1225	16.6142	87.0096	191354	2518	31.5347	218.112	131491	1730	23.1913	113.078	182	6	5.03493	128.464	831	26	5.06044	162.004	3672	114	22.2771	329.012	8437	261	29.3829	438.942
VC1082_response_regulator	1149033	1149398	+	18178	239	11.99	109.119	26177	259	14.5024	154.329	7217	95	3.73134	22.1208	30611	303	12.8574	67.335	30778	405	15.8695	109.763	32332	425	17.8416	86.9941	25	1	2.16389	55.2106	308	10	5.86828	187.866	2205	68	41.8541	618.145	3260	101	35.522	530.652
VC1083_hypothetical_protein	1149395	1149979	+	15931	210	6.56742	59.7694	19580	194	6.77972	72.1472	5427	71	1.75367	10.3964	32278	320	8.47349	44.3762	29026	382	9.35387	64.6968	26149	344	9.01856	43.9736	33	1	1.78521	45.5487	446	14	5.31099	170.025	2203	68	26.1351	385.99	4473	138	30.462	455.062
VC1084_sensory_box_sensor_histidine_kinase	1149990	1151309	+	35730	470	6.52158	59.3522	25049	248	3.84023	40.8663	9535	125	1.3642	8.08749	38817	384	4.51176	23.6284	32645	430	4.65788	32.2166	36956	486	5.64332	27.5163	204	6	4.88622	124.67	354	11	1.86643	59.7516	1563	48	8.20987	121.252	3098	96	9.34134	139.547
VC1085_sensor_histidine_kinase	1151321	1152625	+	23956	315	4.42284	40.2518	22641	224	3.51099	37.3627	11156	147	1.61448	9.57125	13497	134	1.58682	8.31029	17847	235	2.57575	17.8154	13775	181	2.12769	10.3744	98	3	2.3743	60.5792	946	29	5.04506	161.512	1964	61	10.4349	154.113	3572	111	10.8945	162.749
VC1086_response_regulator	1152625	1154235	+	26798	353	4.0072	36.4691	21231	210	2.66659	28.3769	12044	158	1.41171	8.36918	36934	366	3.51697	18.4186	26990	355	3.15496	21.8215	27678	364	3.46261	16.8834	175	5	3.434	87.6168	1282	40	5.53752	177.277	2600	80	11.1884	165.243	3817	118	9.42907	140.858
VC1087_response_regulator	1154252	1155595	+	63524	836	11.3875	103.636	54674	541	8.23221	87.6042	36099	475	5.07248	30.0716	84967	841	9.69936	50.7961	76312	1004	10.6938	73.9648	112901	1486	16.9323	82.5604	215	7	5.05767	129.044	713	22	3.69204	118.197	3623	112	18.6902	276.037	6717	208	19.8917	297.156
VC1088_sensor_histidine_kinase	1155624	1157228	-	4777	63	0.716994	6.52529	2634	26	0.332065	3.53371	3039	40	0.357542	2.11965	5622	56	0.537347	2.81412	3032	40	0.355747	2.46055	3619	48	0.454443	2.21582	25	1	0.492406	12.5635	1269	39	5.50187	176.136	429	13	1.853	27.367	516	16	1.27943	19.1131
VC1089_periplasmic_binding_protein-related_protein	1157232	1158044	-	3121	41	0.925343	8.42144	2010	20	0.500555	5.32672	1570	21	0.364876	2.16312	1928	19	0.364015	1.90637	3348	44	0.775972	5.36707	3273	43	0.811867	3.95858	23	1	0.894869	22.8322	929	29	7.95633	254.713	882	27	7.52549	111.144	1217	38	5.96083	89.047
VC1090_hypothetical_protein	1158069	1158212	-	0.5	0	0.00084178	0.00766095	0.5	0	0.000707043	0.00752409	124	2	0.163639	0.970115	536	5	0.574642	3.00944	0.5	0	0.000658038	0.00455137	0.5	0	0.000704253	0.00343387	0.5	0	0.110464	2.81844	224	7	10.8934	348.741	0.5	0	0.0242246	0.357774	2	0	0.0556245	0.830958
VC1091_oligopeptide_ABC_transporter,_periplasmic_oligopeptide-binding_protein	1158668	1160299	+	996975	13118	147.162	1339.3	434854	4305	53.914	573.732	882456	11611	102.103	605.309	1.49E+06	14720	139.751	731.886	4.85E+06	63791	559.419	3869.26	7.07E+06	93070	873.5	4259.1	6606	206	127.959	3264.82	6391	198	27.2501	872.381	51173	1584	217.375	3210.42	83677	2591	204.044	3048.16
VC1092_oligopeptide_transporter_permease	1160448	1161368	+	36825	485	9.63651	87.7008	12439	123	2.73407	29.0949	78205	1029	16.0416	95.1009	91729	908	15.2858	80.0525	201118	2646	41.1415	284.558	196153	2581	42.9439	209.39	290	9	9.95859	254.089	1009	31	7.62705	244.171	4541	141	34.1968	505.055	8824	273	38.1461	569.853
VC1093_oligopeptide_ABC_transporter,_permease_protein	1161382	1162284	+	48079	633	12.8326	116.788	15430	153	3.45916	36.8111	51143	673	10.6999	63.4333	70087	694	11.9124	62.386	195933	2578	40.8807	282.754	241392	3176	53.9028	262.825	185	6	6.47967	165.326	746	23	5.75156	184.13	3249	101	24.9555	368.568	5403	167	23.8232	355.888
VC1094_oligopeptide_transporter_ATP-binding_component	1162309	1163283	+	101646	1337	25.1244	228.655	35253	349	7.31895	77.8856	79287	1043	15.3619	91.0711	90513	896	14.2469	74.6119	330105	4343	63.7837	441.165	441012	5803	91.1982	444.674	283	9	9.17942	234.209	648	20	4.62668	148.118	4212	130	29.9607	442.491	7710	239	31.4824	470.306
VC1095_oligopeptide_ABC_transporter,_ATP-binding_protein	1163262	1164272	+	57587	758	13.7268	124.926	46485	460	9.30686	99.0402	57681	759	10.7774	63.8924	107283	1062	16.2846	85.2837	323244	4253	60.2318	416.598	407480	5362	81.2605	396.219	434	14	13.5755	346.373	640	20	4.40668	141.075	3104	96	21.2923	314.467	6135	190	24.1583	360.893
