Gene.ID	Gene.Symbol	24hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	1hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	1hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	Log2(24hpi_CtE_Hep2_MOI_1_rRNAdep/1hpi_CtE_Hep2_MOI_1_rRNAdep)
CT282	gcsH	1991	0.9023463	4	0.2677966	1.7525436	glycine cleavage system protein H
CT283	NOT FOUND	11137	0.8539188	10	0.1059592	3.0105900	hypothetical protein
CT284	NOT FOUND	1883	0.2137327	91	1.5542992	-2.8623842	phospholipase D
CT285	lplA_1	724	0.1530617	51	1.6602071	-3.4391786	lipoate-protein ligase A
CT286	clpC	13743	0.8203271	23	0.2025091	2.0182126	ClpC protease ATPase
CT287	mnmA	3476	0.5082465	121	2.6800160	-2.3986412	tRNA-specific 2-thiouridylase MnmA
CT288	NOT FOUND	2370	0.2213037	122	1.9219920	-3.1185026	hypothetical protein
CT289	NOT FOUND	14714	2.0991355	13	0.2412581	3.1211460	hypothetical protein
CT290	ptsN_1	2459	0.6002337	25	0.9517414	-0.6650453	PTS IIA protein   HTH DNA-binding domain
CT291	ptsN_2	2632	0.9404478	5	0.2018758	2.2198799	PTS IIA protein
CT292	dut	5133	1.9763651	24	1.5802271	0.3227176	deoxyuridine 5'-triphosphate nucleotidohydrolase
CT293	accD	2994	0.5236375	41	0.9933723	-0.9237660	acetyl-CoA carboxylase subunit beta
CT294	sodM	4096	1.0917274	5	0.1312258	3.0564894	superoxide dismutase
CT295	mrsA_1	9870	0.8885478	4	0.0595650	3.8989126	phosphoglucomutase
CT296	NOT FOUND	3205	1.1981448	17	0.8861730	0.4351420	hypothetical protein
CT297	rnc	1269	0.2919399	4	0.1362069	1.0998716	ribonuclease III
CT298	radA	2018	0.2420759	0	0.0000000	21.2070280	DNA repair protein RadA
CT299	hemC	746	0.1702086	6	0.2679015	-0.6543988	porphobilinogen deaminase
CT300	NOT FOUND	92	0.0551011	0	0.0000000	19.0717216	hypothetical protein
CT301	pknD	3328	0.1986753	4	0.0285193	2.8004020	serine/threonine-protein kinase
CT302	valS	5667	0.3367713	10	0.0735436	2.1950975	valyl-tRNA synthetase
CT303	NOT FOUND	2098	0.6551251	0	0.0000000	22.6433390	hypothetical protein
CT304	atpK	1567	0.5762016	2	0.0765176	2.9127101	V-type ATP synthase subunit K
CT305	atpI	3023	0.2616685	20	0.2815313	-0.1055550	V-type ATP synthase subunit I
CT306	atpD	1551	0.3793070	9	0.2880576	0.3970086	V-type ATP synthase subunit D
CT307	atpB	2892	0.3432814	28	0.3858490	-0.1686447	V-type ATP synthase subunit B
CT308	atpA	2385	0.2287926	38	0.6440429	-1.4931166	V-type ATP synthase subunit A
CT309	NOT FOUND	931	0.1968931	10	0.4264582	-1.1149917	hypothetical protein
CT310	atpE	2360	0.6241750	44	1.8677047	-1.5812440	V-type ATP synthase subunit E
CT311	NOT FOUND	2570	0.6014054	4	0.1701101	1.8218690	hypothetical protein
CT312	NOT FOUND	8175	3.6091703	24	1.3313620	1.4387643	ferredoxin
CT313	tal	31825	5.2164335	56	1.3577788	1.9418153	transaldolase B
CT314	rpoC	51646	1.9912578	515	3.0278517	-0.6046145	DNA-directed RNA polymerase subunit beta'
CT315	rpoB	33405	1.3559514	403	2.7947805	-1.0434294	DNA-directed RNA polymerase subunit beta
CT316	rplL	9317	3.6736372	159	10.5851658	-1.5267629	50S ribosomal protein L7/L12
CT317	rplJ	7651	2.3158709	199	9.2059071	-1.9910049	50S ribosomal protein L10
CT318	rplA	7124	1.5719823	207	8.4695517	-2.4297003	50S ribosomal protein L1
CT319	rplK	5819	2.1524036	148	7.9208900	-1.8797139	50S ribosomal protein L11
CT320	nusG	3605	1.0715730	54	2.5036446	-1.2242998	transcription antitermination protein NusG
CT321	secE	1753	1.1574780	31	2.6552878	-1.1978836	preprotein translocase subunit SecE
CTt11	tRNATrp	545	1.2167444	7	2.5294040	-1.0557712	tRNA-Trp
CT322	tuf	20101	2.6095001	297	6.3620564	-1.2857198	elongation factor Tu
CTt12	tRNAThr_2	1577	3.4076215	34	9.5535575	-1.4872731	tRNA-Thr
CT323	infA	1552	1.0954205	15	1.3346215	-0.2849459	translation initiation factor IF-1
CT324	NOT FOUND	455	0.0847934	26	0.7578793	-3.1599437	hypothetical protein
CT325	NOT FOUND	410	0.1563153	11	0.8503277	-2.4435598	hypothetical protein
CT326	NOT FOUND	502	0.0494630	28	0.5951454	-3.5888202	hypothetical protein
CT326.1	NOT FOUND	8	0.0080259	3	0.3761905	-5.5506544	hypothetical protein
CT326.2	NOT FOUND	617	0.5524209	29	5.5108235	-3.3184280	hypothetical protein
CTt13	tRNAMet_2	19	0.0557156	2	1.1089041	-4.3149106	tRNA-Met
CT327	trpC	3716	0.9866585	90	4.0061767	-2.0216034	N-(5'-phosphoribosyl)anthranilate isomerase
CT328	tpiA	2384	0.4828339	4	0.0790218	2.6112044	triosephosphate isomerase
CT329	xseA	2831	0.2968647	3	0.0362969	3.0318873	exodeoxyribonuclease VII large subunit
CT330	NOT FOUND	1426	0.8350409	20	2.1338314	-1.3535273	hypothetical protein
CT331	dxs	2292	0.1958685	20	0.2564902	-0.3890182	1-deoxy-D-xylulose-5-phosphate synthase
CT332	pykF	5133	0.5751966	15	0.3104878	0.8895186	pyruvate kinase
CT333	uvrA	2653	0.0810290	2	0.0088416	3.1960590	excinuclease ABC subunit A
CT334	dnaX_2	778	0.0906068	2	0.0232666	1.9613589	DNA polymerase III subunits gamma and tau
CT335	NOT FOUND	546	0.2979605	2	0.1120154	1.4114240	hypothetical protein
CT336	ptsI	3189	0.3116926	0	0.0000000	21.5716925	phosphoenolpyruvate-protein phosphotransferase
CT337	ptsH	1180	0.5961957	0	0.0000000	22.5073545	phosphocarrier protein HPr
CT338	NOT FOUND	468	0.1650295	1	0.0512987	1.6857297	hypothetical protein
CT339	NOT FOUND	564	0.0641903	6	0.0735902	-0.1971583	hypothetical protein
CT340	pdhA/B	3780	0.3018331	62	0.6711969	-1.1529851	2-oxoisovalerate dehydrogenase alpha subunit
CT341	dnaJ	10149	1.4356710	175	3.7114906	-1.3702735	chaperone protein DnaJ
CT342	rpsU	7344	6.7274936	68	11.7474229	-0.8042032	30S ribosomal protein S21
CT343	NOT FOUND	1426	0.3782425	72	2.7931044	-2.8844862	O-sialoglycoprotein endopeptidase family protein
CT344	lon	10268	0.6852321	14	0.1228427	2.4797806	ATP-dependent protease La
CT345	NOT FOUND	270	0.1227430	1	0.0647541	0.9225973	hypothetical protein
CT346	elaC	947	0.1743303	17	0.4365478	-1.3243163	ribonuclease Z
CT347	xerC	129	0.0255944	0	0.0000000	17.9654687	site-specific tyrosine recombinase XerC
CT348	yjjK	23423	2.3347882	108	1.6706530	0.4828796	ABC transporter ATPase
CT349	maf	2689	0.7156267	2	0.1937394	1.8850898	Maf-like protein
CT350	NOT FOUND	2409	0.2338556	2	0.0191631	3.6092151	hypothetical protein
CT351	NOT FOUND	1690	0.1371071	4	0.0452722	1.5986060	hypothetical protein
CT351a	secG	2299	1.2341381	10	1.1533867	0.0976275	preprotein translocase subunit SecG
CT352	NOT FOUND	2669	1.4299797	9	1.0872434	0.3953197	hypothetical protein
CT353	def	3874	1.1891872	24	1.2947674	-0.1227172	peptide deformylase
CT354	ksgA	4359	0.8855448	4	0.0959191	3.2066753	dimethyladenosine transferase
CT355	NOT FOUND	13178	2.1173047	35	0.5928933	1.8363845	hypothetical protein
CT356	yyaL	1069	0.0832333	2	0.0224114	1.8929281	hypothetical protein
CTt14	tRNASer_1	47	0.0964126	0	0.0000000	19.8788622	tRNA-Ser
CT357R	NOT FOUND	396	0.2280436	8	0.8913195	-1.9666332	hypothetical protein
CT357	NOT FOUND	645	0.3236983	16	1.4972868	-2.2096290	hypothetical protein
CT358	NOT FOUND	1875	0.5982727	21	0.8652406	-0.5322982	hypothetical protein
CT359	NOT FOUND	4995	1.4668313	47	1.8813771	-0.3590861	hypothetical protein
CT360	NOT FOUND	969	0.2545821	2	0.0519880	2.2918804	hypothetical protein
CT361	dapA	5973	1.1488784	44	1.3641227	-0.2477472	dihydrodipicolinate synthase
CT362	lysC	6710	0.8799897	33	0.7306138	0.2683776	aspartate kinase
CT363	asd	3784	0.6041238	42	1.1067723	-0.8734423	aspartate-semialdehyde dehydrogenase
CT364	dapB	5304	1.1214137	39	1.1262053	-0.0061512	dihydrodipicolinate reductase
CT365	NOT FOUND	1549	0.1486943	28	0.3069262	-1.0455425	hypothetical protein
CT366	aroA	1169	0.1536233	15	0.3507452	-1.1910262	3-phosphoshikimate 1-carboxyvinyltransferase
CT367	aroL	415	0.1354282	4	0.2783752	-1.0395025	shikimate kinase
CT368	aroC	458	0.0733993	0	0.0000000	19.4854068	chorismate synthase
CT369	aroB	636	0.0939845	2	0.0290521	1.6937804	3-dehydroquinate synthase
CT370	aroDE	929	0.1062723	4	0.0453674	1.2280377	bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase protein
CT371	NOT FOUND	341	0.0704478	0	0.0000000	19.4261951	hypothetical protein
CT372	NOT FOUND	2836	0.3747677	2	0.0356659	3.3933793	hypothetical protein
CT373	NOT FOUND	2143	0.5707460	2	0.0554362	3.3639486	hypothetical protein
CT374	arcD	2868	0.3123505	1	0.0112247	4.7984170	arginine/ornithine antiporter
CT375	NOT FOUND	2563	0.3983562	28	0.7188625	-0.8516568	D-amino acid dehydrogenase
CT376	mdhC	4541	0.7641920	49	1.1777277	-0.6239989	malate dehydrogenase
CT377	ltuA	244	0.2994789	11	1.5339679	-2.3567422	late transcription unit A protein
CT378	pgi	7736	0.7812651	4	0.1025982	2.9288068	glucose-6-phosphate isomerase
CT379	hflX	2688	0.3078230	2	0.0851935	1.8532858	GTP binding protein
CT380	phnP	2010	0.4195404	10	0.4449394	-0.0847991	metal-dependent hydrolase
CT381	artJ	8297	1.7845836	14	0.4197448	2.0880031	arginine binding protein
CT382	aroG	695	0.1346965	4	0.1044185	0.3673351	3-deoxy-7-phosphoheptulonate synthase
CT382.1	NOT FOUND	1255	0.9804293	4	0.3395468	1.5298032	hypothetical protein
CT383	NOT FOUND	591	0.1464778	50	1.6713954	-3.5122996	hypothetical protein
CT384	NOT FOUND	1759	0.1808329	3	0.0645988	1.4850779	hypothetical protein
CT385	ycfF	2515	1.2325097	3	0.1675491	2.8789432	Hit family hydrolase
CT386	NOT FOUND	7117	1.3186635	11	0.3257350	2.0173058	metal dependent hydrolase
CT387	NOT FOUND	2489	0.2019440	14	0.2030778	-0.0080773	hypothetical protein
CT388	NOT FOUND	917	0.5163216	3	0.5668317	-0.1346505	hypothetical protein
CT389	NOT FOUND	1717	0.2292919	0	0.0000000	21.1287540	hypothetical protein
CT390	aspC	1830	0.2579161	4	0.0800000	1.6888299	L,L-diaminopimelate aminotransferase
CT391	NOT FOUND	1024	0.1632238	1	0.0235119	2.7953884	hypothetical protein
CT392	yprS	444	0.0643706	2	0.0417990	0.6229334	hypothetical protein
CT393	proS	4481	0.4093017	53	0.7417214	-0.8577128	prolyl-tRNA synthetase
CT394	hrcA	2424	0.3170607	11	0.1646177	0.9456396	heat-inducible transcription repressor
CT395	grpE	3369	0.9203553	5	0.2068063	2.1539108	HSP-70 cofactor
CT396	dnaK	21311	1.6069696	54	0.6010829	1.4187067	molecular chaperone DnaK
CT397	vacB	11130	0.8791896	91	1.0357819	-0.2364740	exoribonuclease II
CT398	NOT FOUND	18217	3.6963939	150	5.2654764	-0.5104456	hypothetical protein
CT398.1	NOT FOUND	370328	45.1274265	425	7.6546638	2.5595936	Ribonuclease P RNA
CT399	yrbH	3527	0.5756199	16	0.4371798	0.3968898	GutQ/KpsF family sugar-P isomerase
CT400	sucB_2	2226	0.3256628	17	0.3680655	-0.1765836	branched-chain alpha-keto acid dehydrogenase subunit E2
CT401	gltT	5226	0.7308412	164	2.8132230	-1.9445939	glutamate symport
CT402	lpxK	12754	1.7107399	337	6.5317314	-1.9328448	tetraacyldisaccharide 4'-kinase
CT403	yjfH	2951	0.6216866	31	0.9265086	-0.5756168	rRNA methylase
CT404	NOT FOUND	3623	0.7251165	38	1.1698894	-0.6900874	N6-adenine-specific DNA methylase
CT405	ribC	4721	1.2701143	42	2.1943012	-0.7888034	riboflavin synthase subunit alpha
CT406	nrdR	3958	1.3151414	9	0.3472854	1.9210243	transcriptional regulator NrdR
CT407	dksA	4787	1.9746945	7	0.4029240	2.2930498	dnaK suppressor protein
CT408	lspA	2114	0.7027185	5	0.1910610	1.8789136	lipoprotein signal peptidase
CT409	NOT FOUND	4610	0.5538774	313	5.6553726	-3.3519830	amino acid permease
CT410	pcnB_1	3126	0.4003059	63	1.3910455	-1.7969949	polyA polymerase
CT411	lpxB	1350	0.1171718	4	0.0357418	1.7129412	lipid-A-disaccharide synthase
CT412	pmpA	972	0.0552771	0	0.0000000	19.0763224	polymorphic outer membrane protein
CT413	pmpB	19958	0.6108118	4	0.0279864	4.4479301	putative outer membrane protein B
CT414	pmpC	11972	0.3440268	2	0.0089215	5.2690908	putative outer membrane protein C
CTt15	tRNASer_3	87	0.1813490	2	0.5642857	-1.6376569	tRNA-Ser
CT415	yebL	896	0.1706379	18	0.7650854	-2.1646826	solute-binding protein
CT416	NOT FOUND	534	0.1255008	6	0.3679276	-1.5517253	ABC transporter ATPase
CT417	NOT FOUND	1194	0.2306112	28	0.7870470	-1.7709871	metal transport protein
CT418	obgE	1503	0.2586389	32	0.7420870	-1.5206490	GTPase ObgE
CT419	rpmA	1729	1.3073520	19	1.9219612	-0.5559315	50S ribosomal protein L27
CT420	rplU	5045	2.5225128	74	5.1082927	-1.0179796	50S ribosomal protein L21
CTt16	tRNAPhe	120	0.2755928	6	1.3395818	-2.2811724	tRNA-Phe
CT421	NOT FOUND	3157	0.7117086	12	0.5330334	0.4170607	hypothetical protein
CT421.1	NOT FOUND	5132	5.2955158	56	9.1183452	-0.7840009	hypothetical protein
CT421.2	NOT FOUND	4369	4.4874212	52	8.4174410	-0.9074951	hypothetical protein
CT422	NOT FOUND	2170	0.7302568	14	0.5761064	0.3420686	metalloenzyme
CT423	NOT FOUND	1701	0.2606996	5	0.1103090	1.2408379	CBS domain-containing protein
CT424	rsbV_1	3049	1.4600716	0	0.0000000	23.7995358	anti-sigma F factor antagonist
CT425	NOT FOUND	4387	0.3739715	0	0.0000000	21.8344969	hypothetical protein
CT426	NOT FOUND	1132	0.1684658	2	0.0427027	1.9800565	hypothetical protein
CT427	NOT FOUND	909	0.1850349	2	0.0576642	1.6820496	hypothetical protein
CT428	ubiE	2350	0.5553785	4	0.1266641	2.1324637	ubiquinone/menaquinone biosynthesis methyltransferase
CT429	NOT FOUND	15301	2.4769939	53	1.4581464	0.7644548	hypothetical protein
CT430	dapF	6616	1.2892180	4	0.0787355	4.0333382	diaminopimelate epimerase
CT431	clpP_1	9446	2.6233639	5	0.1663122	3.9794520	ATP-dependent Clp protease proteolytic subunit
CT432	glyA	6005	0.6729983	12	0.2405529	1.4842486	serine hydroxymethyltransferase
CT433	hemD	92	0.0231245	0	0.0000000	17.8190626	uroporphyrinogen-III synthase
CT434	ispF	1127	0.3405224	0	0.0000000	21.6993183	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
CT435	cysJ	2904	0.4313497	15	0.3802419	0.1819404	sulfite reductase
CT436	rpsJ	6574	3.1556131	58	4.8190500	-0.6108284	30S ribosomal protein S10
CT437	fusA	28403	2.1706716	390	4.5778140	-1.0765173	elongation factor G
CT438	rs7	8758	3.0961493	123	6.3299430	-1.0317175	30S ribosomal protein S7
CT439m	rpsL	8648	3.8206826	156	10.5525467	-1.4656889	30S ribosomal protein S12
CT440	NOT FOUND	292	0.1311570	8	0.6698908	-2.3526313	hypothetical protein
CT441	tsp	1306	0.0998116	6	0.0505372	0.9818618	tail-specific protease
CT442	crpA	97	0.0305822	0	0.0000000	18.2223327	hypothetical protein
CT443	omcB	46253	4.2956426	444	6.4158581	-0.5787682	60kD cysteine-rich outer membrane protein
CT444	omcA	68591	42.7809948	989	90.3504895	-1.0785625	9kDa-cysteine-rich lipoprotein
CT444.1	NOT FOUND	498	0.3764181	6	0.6320000	-0.7475885	hypothetical protein
CT445	gltX	5973	0.6234774	68	1.2515831	-1.0053450	glutamyl-tRNA synthetase
CT446	euo	1214	0.3729911	433	19.3223637	-5.6949863	hypothetical protein
CT447	recJ	5179	0.4935333	0	0.0000000	22.2347160	ssDNA exonuclease
CT448	secD/secF	15499	0.6020486	24	0.1426066	2.0778392	bifunctional preprotein translocase subunit SecD/SecF
CT449	NOT FOUND	164	0.0878165	8	0.8834624	-3.3306045	hypothetical protein
CT450	yaeS	1656	0.3569896	4	0.1244095	1.5207854	undecaprenyl pyrophosphate synthase
CT451	cdsA	2520	0.4291176	2	0.0355082	3.5951489	phosphatidate cytidylyltransferase
CT452	cmk	1574	0.3939201	4	0.2259547	0.8018694	cytidylate kinase
CT453	plsC	1436	0.3733300	10	0.2730967	0.4510395	1-acyl-sn-glycerol-3-phosphate acyltransferase
CT454	argS	2785	0.2697311	2	0.0192651	3.8074603	arginyl-tRNA synthetase
CT455	murA	5206	0.6586107	10	0.2056127	1.6794966	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
CT456	NOT FOUND	3860	0.2086988	22	0.1531431	0.4465420	hypothetical protein
CT457	yebC	3428	0.8449174	10	0.4764198	0.8265770	hypothetical protein
CT458	YhhY	950	0.3101426	2	0.2271825	0.4490800	ribosomal-protein-alanine acetyltransferase
CT459	prfB	1362	0.2113627	6	0.1149788	0.8783529	peptide chain release factor 2
CT460	NOT FOUND	13203	8.5664589	6	0.3746723	4.5149977	SWIB (YM74) complex protein
CT461	yaeI	5385	0.8887973	4	0.0658515	3.7545662	phosphohydrolase
CT462	ispD	1499	0.3860513	1	0.0246943	3.9665426	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
CT463	truA	1430	0.3007746	1	0.0294776	3.3509918	tRNA pseudouridine synthase A
CT464	NOT FOUND	2043	0.5139138	2	0.0702222	2.8715273	hydrolase, haloacid dehalogenase-like family
CT465	NOT FOUND	401	0.1067628	0	0.0000000	20.0259776	hypothetical protein
CTt17	tRNALeu_1	15	0.0229137	0	0.0000000	17.8058509	tRNA-Leu
CT466	NOT FOUND	1178	0.5975091	0	0.0000000	22.5105293	hypothetical protein
CT467	atoS	1904	0.3099285	2	0.0447592	2.7916793	2-component regulatory system-sensor histidine kinase
CT468	atoC	769	0.1074001	2	0.0986219	0.1230153	2-component regulatory system-ATPase
CTt18	tRNAArg_3	15	0.0424283	0	0.0000000	18.6946673	tRNA-Arg
CT469	NOT FOUND	151	0.0467147	0	0.0000000	18.8335171	hypothetical protein
CT470	recO	560	0.1327027	4	0.1092848	0.2801049	DNA repair protein RecO
CT471	NOT FOUND	1479	0.4186464	2	0.0540572	2.9531735	hypothetical protein
CTt19	tRNALeu_2	47	0.1044443	0	0.0000000	19.9943023	tRNA-Leu
CT472	NOT FOUND	1496	0.3046120	2	0.1440252	1.0806515	hypothetical protein
CT473	NOT FOUND	223	0.1205368	0	0.0000000	20.2010422	hypothetical protein
CT474	NOT FOUND	530	0.0923566	2	0.0509678	0.8576290	hypothetical protein
CT475	pheT	3582	0.2459147	6	0.0474475	2.3737540	phenylalanyl-tRNA synthetase subunit beta
CT476	NOT FOUND	6105	1.0410491	4	0.0981367	3.4071015	hypothetical protein
CT477	ada	972	0.3288736	0	0.0000000	21.6491018	methylated-DNA protein - cysteine methyltransferase
CT478	oppC_2	5493	0.4992835	6	0.1034502	2.2709228	oligopeptide permease
CT479	oppB_2	6333	0.6843504	5	0.0751171	3.1875219	oligopeptide permease
CT480	oppA_4	10528	0.8130548	24	0.2866454	1.5040855	oligopeptide binding lipoprotein
CT480.1	NOT FOUND	33735	36.4074403	4	0.4848272	6.2306189	hypothetical protein
CT481	NOT FOUND	770	0.1741280	0	0.0000000	20.7317168	hypothetical protein
CT482	NOT FOUND	4981	1.2122663	6	0.1947959	2.6376714	hypothetical protein
CT483	NOT FOUND	480	0.2135914	0	0.0000000	21.0264221	hypothetical protein
CT484	NOT FOUND	1333	0.2171730	2	0.0326291	2.7346136	hypothetical protein
CT485	hemH	2311	0.3895287	0	0.0000000	21.8932982	ferrochelatase
CT486	fliY	4126	0.8221334	0	0.0000000	22.9709411	glutamine-binding protein
CT487	yhhF	443	0.1219991	0	0.0000000	20.2184391	methyltransferase
CT488	NOT FOUND	907	0.2001369	2	0.0644898	1.6338443	hypothetical protein
CT489	glgC	1271	0.1620382	8	0.0983303	0.7206260	glucose-1-phosphate adenylyltransferase
CT490	NOT FOUND	808	0.5231538	0	0.0000000	22.3188037	hypothetical protein
CT491	rho	12649	1.4747485	43	0.8914507	0.7262420	transcription termination factor Rho
CT492	coaE	10753	2.8593680	48	2.0599444	0.4730909	dephospho-CoA kinase
CT493	polA	5134	0.3168621	20	0.1909610	0.7305771	DNA polymerase I
CT494	sohB	2594	0.4173924	8	0.1754985	1.2499456	protease
CT495	NOT FOUND	2121	0.2174137	109	2.0710499	-3.2518479	ADP/ATP translocase
CT496	pgsA_1	5860	1.9832511	64	3.2018340	-0.6910311	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
CTt20	tRNASer_2	18	0.0372417	0	0.0000000	18.5065594	tRNA-Ser
CT496.1	NOT FOUND	149	0.1825818	1	0.1580000	0.2086184	hypothetical protein
CT497	dnaB	2499	0.2954268	4	0.1140944	1.3725727	replicative DNA helicase
CT498	gidA	16813	1.4487794	248	3.3259899	-1.1989460	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
CT499	lplA_2	1497	0.3370762	12	0.3418654	-0.0203536	lipoate-protein ligase A
CT500	ndk	39140	15.7499008	305	16.8150194	-0.0944077	nucleoside diphosphate kinase
CT501	ruvA	1727	0.4658343	0	0.0000000	22.1513854	Holliday junction DNA helicase RuvA
CT502	ruvC	2893	0.9595646	4	0.1270818	2.9166225	Holliday junction resolvase
CT503	NOT FOUND	7914	2.3436270	22	1.0612328	1.1430018	hypothetical protein
CTt21	tRNALeu_3	910	1.7636255	4	1.8614246	-0.0778629	tRNA-Leu
CT504	NOT FOUND	10046	1.8569749	72	1.9015439	-0.0342169	hypothetical protein
CT505	gapA	12150	1.9450829	99	2.5034695	-0.3640972	glyceraldehyde-3-phosphate dehydrogenase
CT506	rplQ	6888	2.5568135	122	6.4964953	-1.3453148	50S ribosomal protein L17
CT507	rpoA	17134	2.3766886	338	7.2300659	-1.6050557	DNA-directed RNA polymerase subunit alpha
CT508	rs11	10136	4.3218972	243	15.1124104	-1.8059972	30S ribosomal protein S11
CT509	rpsM	6751	3.0074952	151	10.6462060	-1.8237048	30S ribosomal protein S13
CT510	secY	10279	1.2313076	149	2.8659197	-1.2188068	preprotein translocase subunit SecY
CT511	rplO	4895	1.8871753	101	4.8844747	-1.3719749	50S ribosomal protein L15
CT512	rpsE	4450	1.4863810	91	4.8071708	-1.6933840	30S ribosomal protein S5
CT513	rplR	3532	1.5747197	97	6.6651811	-2.0815490	50S ribosomal protein L18
CT514	rplF	3446	1.0369584	111	4.9542382	-2.2563055	50S ribosomal protein L6
CT515	rpsH	2683	1.1259176	58	3.5162826	-1.6429498	30S ribosomal protein S8
CT516	rplE	4601	1.3649215	72	3.8521292	-1.4968381	50S ribosomal protein L5
CT517	rplX	2672	1.2736080	78	6.8276446	-2.4224663	50S ribosomal protein L24
CT518	rplN	3879	1.7531130	108	7.6410854	-2.1238583	50S ribosomal protein L14
CT519	rpsQ	2994	1.9190914	84	7.4808305	-1.9627752	30S ribosomal protein S17
CT520	rpmC	2185	1.6685943	47	5.2957222	-1.6661943	50S ribosomal protein L29
CT521	rplP	2417	1.0147064	55	3.2015440	-1.6577056	50S ribosomal protein L16
CT522	rpsC	4336	1.1067098	140	5.5608837	-2.3290371	30S ribosomal protein S3
CT523	rplV	3376	1.6979101	113	9.0217523	-2.4096477	50S ribosomal protein L22
CT524	rpsS	3905	2.5116231	128	12.2965701	-2.2915638	30S ribosomal protein S19
CT525	rplB	13045	2.5252785	333	8.9463815	-1.8248620	50S ribosomal protein L2
CT526	rplW	5619	2.6920983	146	10.4124765	-1.9515105	50S ribosomal protein L23
CT527	rplD	5545	1.3751129	141	4.6999607	-1.7730984	50S ribosomal protein L4
CT528	rplC	5053	1.2863770	169	6.9813787	-2.4401985	50S ribosomal protein L3
CT529	NOT FOUND	1206	0.2384889	94	2.4285494	-3.3481008	hypothetical protein
CT530	fmt	2987	0.5046350	8	0.1371041	1.8799686	methionyl-tRNA formyltransferase
CT531	lpxA	4562	0.8450383	15	0.3602464	1.2300327	UDP-N-acetylglucosamine acyltransferase
CT532	fabZ	2670	0.9327714	0	0.0000000	23.1530921	(3R)-hydroxymyristoyl-ACP dehydratase
CT533	lpxC	5505	1.0435456	6	0.1479634	2.8181814	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
CT534	lnt	1596	0.1616391	0	0.0000000	20.6243448	apolipoprotein N-acyltransferase
CT535	yciA	3162	1.0746416	4	0.3045476	1.8191160	acyl-CoA hydrolase
CT536	dnaQ_2	3826	0.7916130	12	0.4969316	0.6717480	DNA polymerase III subunit epsilon
CT537	yjeE	3540	1.2468501	6	0.4103302	1.6034308	ATPase or kinase
CT538	NOT FOUND	13340	2.9962132	58	2.1166728	0.5013420	hypothetical protein
CTt22	tRNALeu_5	86	0.1592514	0	0.0000000	20.6028746	tRNA-Leu
CT539	trxA	3140	1.6724359	12	0.9698632	0.7860977	thioredoxin
CT540	yibK	2744	0.9659905	20	1.0405355	-0.1072453	rRNA methylase
CT541	mip	7185	1.5501852	16	0.4169159	1.8946123	peptidyl-prolyl cis-trans isomerase
CT542	aspS	8318	0.7932365	34	0.4358822	0.8638128	aspartyl-tRNA synthetase
CT543	hisS	8455	1.0900087	57	1.1320479	-0.0545953	histidyl-tRNA synthetase
CT544	uhpC	11895	1.4481083	18	0.3658541	1.9848292	hexosphosphate transport
CT545	dnaE	7079	0.3015114	17	0.1306644	1.2063464	DNA polymerase III subunit alpha
CT546	NOT FOUND	2210	0.3945415	10	0.3155092	0.3224950	hypothetical protein
CT547	NOT FOUND	2267	0.4178479	0	0.0000000	21.9945465	hypothetical protein
CT548	NOT FOUND	565	0.1554987	0	0.0000000	20.5684711	hypothetical protein
CT549	rsbW	1056	0.3699964	0	0.0000000	21.8190798	sigma regulatory factor-histidine kinase
CT550	NOT FOUND	2920	1.1248705	8	0.4276954	1.3951033	hypothetical protein
CT551	dacC	2802	0.4511251	10	0.1937900	1.2190334	D-alanyl-D-alanine carboxypeptidase
CT552	NOT FOUND	203	0.0794072	4	0.3968137	-2.3211204	hypothetical protein
CT553	fmu	153	0.0238889	0	0.0000000	17.8659809	RNA methyltransferase
CT554	brnQ	10967	1.4070755	92	1.9348890	-0.4595511	branched chain amino acid ABC transporter carrier protein
CT555	NOT FOUND	3863	0.1689763	3	0.0249574	2.7592814	SWI/SNF family helicase
CT556	NOT FOUND	6657	2.4468851	0	0.0000000	24.5444430	hypothetical protein
CT557	lpdA	8043	0.9282295	12	0.2782496	1.7381019	dihydrolipoamide dehydrogenase
CT558	lipA	2371	0.4317885	0	0.0000000	22.0418934	lipoyl synthase
CT559	yscJ	14034	2.3407023	22	0.4791763	2.2883130	Yop proteins translocation lipoprotein J
CT560	NOT FOUND	3275	0.6461573	0	0.0000000	22.6234540	hypothetical protein
CT561	yscL	5428	1.3215651	2	0.0485067	4.7679196	type III secretion system protein
CT562	yscR	2272	0.4115626	3	0.1136265	1.8568126	type III secretion system protein
